type;n;k;comps;swaps
ExperimentalSelect3;100;3;655;251
ExperimentalSelect5;100;5;960;348
ExperimentalSelect7;100;7;1120;474
ExperimentalSelect9;100;9;1097;441
ExperimentalSelect3;100;3;551;223
ExperimentalSelect5;100;5;778;312
ExperimentalSelect7;100;7;1093;453
ExperimentalSelect9;100;9;993;410
ExperimentalSelect3;100;3;610;273
ExperimentalSelect5;100;5;795;365
ExperimentalSelect7;100;7;1020;393
ExperimentalSelect9;100;9;1065;446
ExperimentalSelect3;100;3;592;296
ExperimentalSelect5;100;5;791;368
ExperimentalSelect7;100;7;987;451
ExperimentalSelect9;100;9;1257;538
ExperimentalSelect3;100;3;547;253
ExperimentalSelect5;100;5;788;357
ExperimentalSelect7;100;7;1269;534
ExperimentalSelect9;100;9;865;375
ExperimentalSelect3;100;3;615;305
ExperimentalSelect5;100;5;552;246
ExperimentalSelect7;100;7;1062;415
ExperimentalSelect9;100;9;1156;477
ExperimentalSelect3;100;3;531;265
ExperimentalSelect5;100;5;827;376
ExperimentalSelect7;100;7;1029;439
ExperimentalSelect9;100;9;1062;480
ExperimentalSelect3;100;3;555;243
ExperimentalSelect5;100;5;770;338
ExperimentalSelect7;100;7;969;403
ExperimentalSelect9;100;9;1142;445
ExperimentalSelect3;100;3;519;229
ExperimentalSelect5;100;5;795;331
ExperimentalSelect7;100;7;927;350
ExperimentalSelect9;100;9;1126;455
ExperimentalSelect3;100;3;448;194
ExperimentalSelect5;100;5;842;361
ExperimentalSelect7;100;7;906;400
ExperimentalSelect9;100;9;1089;501
ExperimentalSelect3;100;3;437;192
ExperimentalSelect5;100;5;664;304
ExperimentalSelect7;100;7;1122;483
ExperimentalSelect9;100;9;1184;461
ExperimentalSelect3;100;3;618;279
ExperimentalSelect5;100;5;880;398
ExperimentalSelect7;100;7;949;381
ExperimentalSelect9;100;9;1160;487
ExperimentalSelect3;100;3;597;302
ExperimentalSelect5;100;5;805;359
ExperimentalSelect7;100;7;790;306
ExperimentalSelect9;100;9;795;375
ExperimentalSelect3;100;3;705;296
ExperimentalSelect5;100;5;704;327
ExperimentalSelect7;100;7;1071;447
ExperimentalSelect9;100;9;1178;500
ExperimentalSelect3;100;3;637;267
ExperimentalSelect5;100;5;843;331
ExperimentalSelect7;100;7;949;372
ExperimentalSelect9;100;9;1177;496
ExperimentalSelect3;100;3;641;244
ExperimentalSelect5;100;5;701;319
ExperimentalSelect7;100;7;1227;450
ExperimentalSelect9;100;9;1201;467
ExperimentalSelect3;100;3;634;271
ExperimentalSelect5;100;5;886;407
ExperimentalSelect7;100;7;1016;465
ExperimentalSelect9;100;9;1062;482
ExperimentalSelect3;100;3;607;295
ExperimentalSelect5;100;5;812;351
ExperimentalSelect7;100;7;884;404
ExperimentalSelect9;100;9;1118;479
ExperimentalSelect3;100;3;525;204
ExperimentalSelect5;100;5;819;307
ExperimentalSelect7;100;7;938;387
ExperimentalSelect9;100;9;1181;492
ExperimentalSelect3;100;3;549;279
ExperimentalSelect5;100;5;771;315
ExperimentalSelect7;100;7;925;406
ExperimentalSelect9;100;9;1012;483
ExperimentalSelect3;100;3;680;296
ExperimentalSelect5;100;5;715;322
ExperimentalSelect7;100;7;979;433
ExperimentalSelect9;100;9;1323;526
ExperimentalSelect3;100;3;680;287
ExperimentalSelect5;100;5;786;324
ExperimentalSelect7;100;7;971;391
ExperimentalSelect9;100;9;1320;513
ExperimentalSelect3;100;3;643;274
ExperimentalSelect5;100;5;802;353
ExperimentalSelect7;100;7;841;345
ExperimentalSelect9;100;9;1035;440
ExperimentalSelect3;100;3;607;264
ExperimentalSelect5;100;5;572;256
ExperimentalSelect7;100;7;920;388
ExperimentalSelect9;100;9;833;403
ExperimentalSelect3;100;3;579;253
ExperimentalSelect5;100;5;601;240
ExperimentalSelect7;100;7;1001;398
ExperimentalSelect9;100;9;1083;463
ExperimentalSelect3;100;3;652;262
ExperimentalSelect5;100;5;824;355
ExperimentalSelect7;100;7;1005;415
ExperimentalSelect9;100;9;1202;486
ExperimentalSelect3;100;3;715;312
ExperimentalSelect5;100;5;842;357
ExperimentalSelect7;100;7;1032;397
ExperimentalSelect9;100;9;1096;455
ExperimentalSelect3;100;3;611;321
ExperimentalSelect5;100;5;781;345
ExperimentalSelect7;100;7;1097;455
ExperimentalSelect9;100;9;1382;590
ExperimentalSelect3;100;3;766;349
ExperimentalSelect5;100;5;899;386
ExperimentalSelect7;100;7;863;378
ExperimentalSelect9;100;9;1176;502
ExperimentalSelect3;100;3;527;260
ExperimentalSelect5;100;5;706;346
ExperimentalSelect7;100;7;871;408
ExperimentalSelect9;100;9;1054;488
ExperimentalSelect3;100;3;703;288
ExperimentalSelect5;100;5;834;340
ExperimentalSelect7;100;7;928;416
ExperimentalSelect9;100;9;1315;544
ExperimentalSelect3;100;3;616;250
ExperimentalSelect5;100;5;635;294
ExperimentalSelect7;100;7;995;413
ExperimentalSelect9;100;9;1143;470
ExperimentalSelect3;100;3;455;182
ExperimentalSelect5;100;5;720;346
ExperimentalSelect7;100;7;1011;429
ExperimentalSelect9;100;9;804;363
ExperimentalSelect3;100;3;764;350
ExperimentalSelect5;100;5;851;343
ExperimentalSelect7;100;7;1107;509
ExperimentalSelect9;100;9;1088;473
ExperimentalSelect3;100;3;814;335
ExperimentalSelect5;100;5;761;317
ExperimentalSelect7;100;7;979;454
ExperimentalSelect9;100;9;1059;473
ExperimentalSelect3;100;3;632;292
ExperimentalSelect5;100;5;811;367
ExperimentalSelect7;100;7;929;415
ExperimentalSelect9;100;9;1272;548
ExperimentalSelect3;100;3;660;301
ExperimentalSelect5;100;5;743;358
ExperimentalSelect7;100;7;1418;592
ExperimentalSelect9;100;9;1300;526
ExperimentalSelect3;100;3;640;260
ExperimentalSelect5;100;5;820;338
ExperimentalSelect7;100;7;938;358
ExperimentalSelect9;100;9;940;368
ExperimentalSelect3;100;3;574;268
ExperimentalSelect5;100;5;753;330
ExperimentalSelect7;100;7;909;412
ExperimentalSelect9;100;9;1028;422
ExperimentalSelect3;100;3;556;275
ExperimentalSelect5;100;5;840;384
ExperimentalSelect7;100;7;1076;405
ExperimentalSelect9;100;9;1282;504
ExperimentalSelect3;100;3;540;227
ExperimentalSelect5;100;5;755;312
ExperimentalSelect7;100;7;896;350
ExperimentalSelect9;100;9;1160;492
ExperimentalSelect3;100;3;539;231
ExperimentalSelect5;100;5;769;332
ExperimentalSelect7;100;7;999;472
ExperimentalSelect9;100;9;1048;451
ExperimentalSelect3;100;3;585;240
ExperimentalSelect5;100;5;749;323
ExperimentalSelect7;100;7;879;352
ExperimentalSelect9;100;9;1125;463
ExperimentalSelect3;100;3;850;357
ExperimentalSelect5;100;5;590;265
ExperimentalSelect7;100;7;1163;462
ExperimentalSelect9;100;9;1520;583
ExperimentalSelect3;100;3;611;257
ExperimentalSelect5;100;5;752;324
ExperimentalSelect7;100;7;957;441
ExperimentalSelect9;100;9;1181;522
ExperimentalSelect3;100;3;641;245
ExperimentalSelect5;100;5;900;388
ExperimentalSelect7;100;7;1346;579
ExperimentalSelect9;100;9;1281;505
ExperimentalSelect3;100;3;522;248
ExperimentalSelect5;100;5;717;323
ExperimentalSelect7;100;7;981;424
ExperimentalSelect9;100;9;1158;440
ExperimentalSelect3;100;3;580;251
ExperimentalSelect5;100;5;896;352
ExperimentalSelect7;100;7;697;272
ExperimentalSelect9;100;9;1393;545
ExperimentalSelect3;100;3;523;191
ExperimentalSelect5;100;5;758;336
ExperimentalSelect7;100;7;1775;664
ExperimentalSelect9;100;9;1186;475
ExperimentalSelect3;100;3;582;248
ExperimentalSelect5;100;5;807;330
ExperimentalSelect7;100;7;804;304
ExperimentalSelect9;100;9;1245;503
ExperimentalSelect3;100;3;648;246
ExperimentalSelect5;100;5;635;282
ExperimentalSelect7;100;7;1255;468
ExperimentalSelect9;100;9;1064;439
ExperimentalSelect3;100;3;578;245
ExperimentalSelect5;100;5;843;387
ExperimentalSelect7;100;7;1148;475
ExperimentalSelect9;100;9;1084;484
ExperimentalSelect3;100;3;802;355
ExperimentalSelect5;100;5;842;378
ExperimentalSelect7;100;7;1572;605
ExperimentalSelect9;100;9;1451;584
ExperimentalSelect3;100;3;538;220
ExperimentalSelect5;100;5;804;346
ExperimentalSelect7;100;7;1036;459
ExperimentalSelect9;100;9;1170;473
ExperimentalSelect3;100;3;568;255
ExperimentalSelect5;100;5;733;335
ExperimentalSelect7;100;7;780;338
ExperimentalSelect9;100;9;1070;470
ExperimentalSelect3;100;3;692;296
ExperimentalSelect5;100;5;704;335
ExperimentalSelect7;100;7;975;429
ExperimentalSelect9;100;9;1444;567
ExperimentalSelect3;100;3;672;311
ExperimentalSelect5;100;5;762;327
ExperimentalSelect7;100;7;1533;631
ExperimentalSelect9;100;9;1175;502
ExperimentalSelect3;100;3;563;234
ExperimentalSelect5;100;5;707;331
ExperimentalSelect7;100;7;905;391
ExperimentalSelect9;100;9;1079;455
ExperimentalSelect3;100;3;611;226
ExperimentalSelect5;100;5;793;338
ExperimentalSelect7;100;7;1121;456
ExperimentalSelect9;100;9;1106;457
ExperimentalSelect3;100;3;564;234
ExperimentalSelect5;100;5;611;272
ExperimentalSelect7;100;7;1099;492
ExperimentalSelect9;100;9;1091;456
ExperimentalSelect3;100;3;718;325
ExperimentalSelect5;100;5;823;357
ExperimentalSelect7;100;7;1048;488
ExperimentalSelect9;100;9;1238;589
ExperimentalSelect3;100;3;616;252
ExperimentalSelect5;100;5;812;330
ExperimentalSelect7;100;7;843;343
ExperimentalSelect9;100;9;1144;449
ExperimentalSelect3;100;3;849;382
ExperimentalSelect5;100;5;765;328
ExperimentalSelect7;100;7;1212;487
ExperimentalSelect9;100;9;1557;635
ExperimentalSelect3;100;3;624;259
ExperimentalSelect5;100;5;872;368
ExperimentalSelect7;100;7;843;342
ExperimentalSelect9;100;9;1106;516
ExperimentalSelect3;100;3;663;287
ExperimentalSelect5;100;5;707;352
ExperimentalSelect7;100;7;963;388
ExperimentalSelect9;100;9;1103;481
ExperimentalSelect3;100;3;765;317
ExperimentalSelect5;100;5;839;392
ExperimentalSelect7;100;7;1006;414
ExperimentalSelect9;100;9;1416;545
ExperimentalSelect3;100;3;552;267
ExperimentalSelect5;100;5;648;246
ExperimentalSelect7;100;7;1037;399
ExperimentalSelect9;100;9;1106;493
ExperimentalSelect3;100;3;727;339
ExperimentalSelect5;100;5;737;322
ExperimentalSelect7;100;7;1027;396
ExperimentalSelect9;100;9;1277;521
ExperimentalSelect3;100;3;591;277
ExperimentalSelect5;100;5;770;329
ExperimentalSelect7;100;7;987;394
ExperimentalSelect9;100;9;1278;558
ExperimentalSelect3;100;3;810;335
ExperimentalSelect5;100;5;823;339
ExperimentalSelect7;100;7;958;353
ExperimentalSelect9;100;9;1061;420
ExperimentalSelect3;100;3;605;264
ExperimentalSelect5;100;5;642;317
ExperimentalSelect7;100;7;1272;499
ExperimentalSelect9;100;9;1085;443
ExperimentalSelect3;100;3;641;254
ExperimentalSelect5;100;5;846;350
ExperimentalSelect7;100;7;955;346
ExperimentalSelect9;100;9;1132;492
ExperimentalSelect3;100;3;653;245
ExperimentalSelect5;100;5;761;327
ExperimentalSelect7;100;7;896;404
ExperimentalSelect9;100;9;1167;491
ExperimentalSelect3;100;3;522;238
ExperimentalSelect5;100;5;757;339
ExperimentalSelect7;100;7;864;416
ExperimentalSelect9;100;9;821;375
ExperimentalSelect3;100;3;664;303
ExperimentalSelect5;100;5;713;325
ExperimentalSelect7;100;7;895;367
ExperimentalSelect9;100;9;1150;470
ExperimentalSelect3;100;3;725;305
ExperimentalSelect5;100;5;750;308
ExperimentalSelect7;100;7;994;385
ExperimentalSelect9;100;9;1105;438
ExperimentalSelect3;100;3;753;320
ExperimentalSelect5;100;5;948;408
ExperimentalSelect7;100;7;1052;438
ExperimentalSelect9;100;9;1075;489
ExperimentalSelect3;100;3;522;240
ExperimentalSelect5;100;5;534;266
ExperimentalSelect7;100;7;960;411
ExperimentalSelect9;100;9;863;379
ExperimentalSelect3;100;3;570;243
ExperimentalSelect5;100;5;611;263
ExperimentalSelect7;100;7;861;353
ExperimentalSelect9;100;9;901;387
ExperimentalSelect3;100;3;749;298
ExperimentalSelect5;100;5;801;351
ExperimentalSelect7;100;7;1201;497
ExperimentalSelect9;100;9;1110;445
ExperimentalSelect3;100;3;534;243
ExperimentalSelect5;100;5;900;371
ExperimentalSelect7;100;7;1022;424
ExperimentalSelect9;100;9;1133;446
ExperimentalSelect3;100;3;613;269
ExperimentalSelect5;100;5;563;287
ExperimentalSelect7;100;7;864;371
ExperimentalSelect9;100;9;1124;473
ExperimentalSelect3;100;3;576;275
ExperimentalSelect5;100;5;815;311
ExperimentalSelect7;100;7;915;428
ExperimentalSelect9;100;9;826;372
ExperimentalSelect3;100;3;712;293
ExperimentalSelect5;100;5;757;326
ExperimentalSelect7;100;7;1045;397
ExperimentalSelect9;100;9;1308;523
ExperimentalSelect3;100;3;606;248
ExperimentalSelect5;100;5;852;347
ExperimentalSelect7;100;7;1111;462
ExperimentalSelect9;100;9;1147;492
ExperimentalSelect3;100;3;688;279
ExperimentalSelect5;100;5;727;301
ExperimentalSelect7;100;7;1142;439
ExperimentalSelect9;100;9;1111;465
ExperimentalSelect3;100;3;404;177
ExperimentalSelect5;100;5;567;267
ExperimentalSelect7;100;7;734;320
ExperimentalSelect9;100;9;1456;527
ExperimentalSelect3;100;3;624;272
ExperimentalSelect5;100;5;865;386
ExperimentalSelect7;100;7;1659;591
ExperimentalSelect9;100;9;1216;560
ExperimentalSelect3;100;3;558;251
ExperimentalSelect5;100;5;761;331
ExperimentalSelect7;100;7;1097;473
ExperimentalSelect9;100;9;1189;488
ExperimentalSelect3;100;3;745;352
ExperimentalSelect5;100;5;747;342
ExperimentalSelect7;100;7;1225;456
ExperimentalSelect9;100;9;1341;555
ExperimentalSelect3;100;3;624;279
ExperimentalSelect5;100;5;745;366
ExperimentalSelect7;100;7;756;334
ExperimentalSelect9;100;9;1106;527
ExperimentalSelect3;100;3;797;320
ExperimentalSelect5;100;5;876;344
ExperimentalSelect7;100;7;1148;442
ExperimentalSelect9;100;9;1242;503
ExperimentalSelect3;100;3;677;310
ExperimentalSelect5;100;5;795;366
ExperimentalSelect7;100;7;1048;468
ExperimentalSelect9;100;9;901;431
ExperimentalSelect3;100;3;904;430
ExperimentalSelect5;100;5;692;315
ExperimentalSelect7;100;7;1142;439
ExperimentalSelect9;100;9;1475;601
ExperimentalSelect3;100;3;619;244
ExperimentalSelect5;100;5;816;325
ExperimentalSelect7;100;7;885;330
ExperimentalSelect9;100;9;1146;482
ExperimentalSelect3;100;3;684;284
ExperimentalSelect5;100;5;767;390
ExperimentalSelect7;100;7;1598;650
ExperimentalSelect9;100;9;1118;457
ExperimentalSelect3;100;3;478;244
ExperimentalSelect5;100;5;683;325
ExperimentalSelect7;100;7;903;342
ExperimentalSelect9;100;9;1092;492
ExperimentalSelect3;100;3;673;287
ExperimentalSelect5;100;5;808;332
ExperimentalSelect7;100;7;918;385
ExperimentalSelect9;100;9;889;401
ExperimentalSelect3;100;3;639;256
ExperimentalSelect5;100;5;814;376
ExperimentalSelect7;100;7;1338;589
ExperimentalSelect9;100;9;1203;469
ExperimentalSelect3;100;3;480;226
ExperimentalSelect5;100;5;699;319
ExperimentalSelect7;100;7;973;407
ExperimentalSelect9;100;9;1270;524
ExperimentalSelect3;200;3;1580;735
ExperimentalSelect5;200;5;1441;652
ExperimentalSelect7;200;7;1912;746
ExperimentalSelect9;200;9;2540;1097
ExperimentalSelect3;200;3;1240;577
ExperimentalSelect5;200;5;1412;614
ExperimentalSelect7;200;7;1943;928
ExperimentalSelect9;200;9;2448;1029
ExperimentalSelect3;200;3;1045;519
ExperimentalSelect5;200;5;1559;622
ExperimentalSelect7;200;7;1819;799
ExperimentalSelect9;200;9;2666;1117
ExperimentalSelect3;200;3;1279;556
ExperimentalSelect5;200;5;1555;767
ExperimentalSelect7;200;7;2090;911
ExperimentalSelect9;200;9;2458;973
ExperimentalSelect3;200;3;969;434
ExperimentalSelect5;200;5;1569;652
ExperimentalSelect7;200;7;2681;1031
ExperimentalSelect9;200;9;2148;993
ExperimentalSelect3;200;3;1258;551
ExperimentalSelect5;200;5;1654;705
ExperimentalSelect7;200;7;2107;872
ExperimentalSelect9;200;9;2248;995
ExperimentalSelect3;200;3;1624;741
ExperimentalSelect5;200;5;1498;653
ExperimentalSelect7;200;7;1831;751
ExperimentalSelect9;200;9;2375;1020
ExperimentalSelect3;200;3;1193;541
ExperimentalSelect5;200;5;1363;656
ExperimentalSelect7;200;7;1959;827
ExperimentalSelect9;200;9;2341;1002
ExperimentalSelect3;200;3;1169;515
ExperimentalSelect5;200;5;1196;579
ExperimentalSelect7;200;7;1404;593
ExperimentalSelect9;200;9;2167;911
ExperimentalSelect3;200;3;1168;498
ExperimentalSelect5;200;5;1530;714
ExperimentalSelect7;200;7;1936;841
ExperimentalSelect9;200;9;2172;912
ExperimentalSelect3;200;3;1168;506
ExperimentalSelect5;200;5;1381;628
ExperimentalSelect7;200;7;1869;866
ExperimentalSelect9;200;9;2221;996
ExperimentalSelect3;200;3;1176;483
ExperimentalSelect5;200;5;1492;626
ExperimentalSelect7;200;7;2159;961
ExperimentalSelect9;200;9;2344;1058
ExperimentalSelect3;200;3;1077;502
ExperimentalSelect5;200;5;1467;649
ExperimentalSelect7;200;7;1998;832
ExperimentalSelect9;200;9;2214;981
ExperimentalSelect3;200;3;997;441
ExperimentalSelect5;200;5;1538;712
ExperimentalSelect7;200;7;1935;810
ExperimentalSelect9;200;9;2495;1056
ExperimentalSelect3;200;3;1201;500
ExperimentalSelect5;200;5;1390;600
ExperimentalSelect7;200;7;1975;877
ExperimentalSelect9;200;9;2066;934
ExperimentalSelect3;200;3;1377;555
ExperimentalSelect5;200;5;1426;671
ExperimentalSelect7;200;7;1984;850
ExperimentalSelect9;200;9;2422;1057
ExperimentalSelect3;200;3;1052;476
ExperimentalSelect5;200;5;1453;589
ExperimentalSelect7;200;7;1790;831
ExperimentalSelect9;200;9;2130;994
ExperimentalSelect3;200;3;1239;518
ExperimentalSelect5;200;5;1399;676
ExperimentalSelect7;200;7;1815;818
ExperimentalSelect9;200;9;2348;947
ExperimentalSelect3;200;3;1114;464
ExperimentalSelect5;200;5;1702;763
ExperimentalSelect7;200;7;1886;854
ExperimentalSelect9;200;9;2477;993
ExperimentalSelect3;200;3;1587;638
ExperimentalSelect5;200;5;1525;658
ExperimentalSelect7;200;7;1817;772
ExperimentalSelect9;200;9;2520;1040
ExperimentalSelect3;200;3;1283;574
ExperimentalSelect5;200;5;1481;616
ExperimentalSelect7;200;7;1834;793
ExperimentalSelect9;200;9;1741;814
ExperimentalSelect3;200;3;1234;539
ExperimentalSelect5;200;5;1492;645
ExperimentalSelect7;200;7;1868;811
ExperimentalSelect9;200;9;2314;1044
ExperimentalSelect3;200;3;1153;535
ExperimentalSelect5;200;5;1635;731
ExperimentalSelect7;200;7;2037;952
ExperimentalSelect9;200;9;2125;943
ExperimentalSelect3;200;3;798;378
ExperimentalSelect5;200;5;1551;640
ExperimentalSelect7;200;7;1463;635
ExperimentalSelect9;200;9;2561;1049
ExperimentalSelect3;200;3;1095;472
ExperimentalSelect5;200;5;1657;695
ExperimentalSelect7;200;7;1957;851
ExperimentalSelect9;200;9;2354;965
ExperimentalSelect3;200;3;1217;547
ExperimentalSelect5;200;5;1398;648
ExperimentalSelect7;200;7;1788;763
ExperimentalSelect9;200;9;2914;1198
ExperimentalSelect3;200;3;1058;496
ExperimentalSelect5;200;5;1525;676
ExperimentalSelect7;200;7;1824;788
ExperimentalSelect9;200;9;2511;1056
ExperimentalSelect3;200;3;1091;467
ExperimentalSelect5;200;5;1656;661
ExperimentalSelect7;200;7;1747;801
ExperimentalSelect9;200;9;1996;866
ExperimentalSelect3;200;3;1434;643
ExperimentalSelect5;200;5;1561;722
ExperimentalSelect7;200;7;2147;925
ExperimentalSelect9;200;9;2460;1056
ExperimentalSelect3;200;3;992;497
ExperimentalSelect5;200;5;1539;668
ExperimentalSelect7;200;7;1837;757
ExperimentalSelect9;200;9;2738;1103
ExperimentalSelect3;200;3;1805;735
ExperimentalSelect5;200;5;1520;638
ExperimentalSelect7;200;7;1912;847
ExperimentalSelect9;200;9;2406;977
ExperimentalSelect3;200;3;949;425
ExperimentalSelect5;200;5;1569;636
ExperimentalSelect7;200;7;1984;845
ExperimentalSelect9;200;9;2411;999
ExperimentalSelect3;200;3;1213;518
ExperimentalSelect5;200;5;1686;685
ExperimentalSelect7;200;7;1780;765
ExperimentalSelect9;200;9;2494;1037
ExperimentalSelect3;200;3;1359;560
ExperimentalSelect5;200;5;1396;663
ExperimentalSelect7;200;7;1978;791
ExperimentalSelect9;200;9;2353;985
ExperimentalSelect3;200;3;1200;584
ExperimentalSelect5;200;5;1461;615
ExperimentalSelect7;200;7;1749;794
ExperimentalSelect9;200;9;2201;932
ExperimentalSelect3;200;3;1282;545
ExperimentalSelect5;200;5;1534;654
ExperimentalSelect7;200;7;1845;746
ExperimentalSelect9;200;9;2626;1050
ExperimentalSelect3;200;3;1020;481
ExperimentalSelect5;200;5;1255;492
ExperimentalSelect7;200;7;2081;869
ExperimentalSelect9;200;9;3191;1318
ExperimentalSelect3;200;3;1144;521
ExperimentalSelect5;200;5;1493;686
ExperimentalSelect7;200;7;1872;816
ExperimentalSelect9;200;9;1656;873
ExperimentalSelect3;200;3;2012;880
ExperimentalSelect5;200;5;1155;574
ExperimentalSelect7;200;7;1987;752
ExperimentalSelect9;200;9;2642;1128
ExperimentalSelect3;200;3;1065;503
ExperimentalSelect5;200;5;1389;677
ExperimentalSelect7;200;7;2102;859
ExperimentalSelect9;200;9;2089;991
ExperimentalSelect3;200;3;1610;661
ExperimentalSelect5;200;5;1536;585
ExperimentalSelect7;200;7;2022;840
ExperimentalSelect9;200;9;2395;1005
ExperimentalSelect3;200;3;1461;661
ExperimentalSelect5;200;5;1388;678
ExperimentalSelect7;200;7;1717;814
ExperimentalSelect9;200;9;2224;951
ExperimentalSelect3;200;3;1011;481
ExperimentalSelect5;200;5;1618;706
ExperimentalSelect7;200;7;1854;862
ExperimentalSelect9;200;9;2222;969
ExperimentalSelect3;200;3;1169;492
ExperimentalSelect5;200;5;1444;661
ExperimentalSelect7;200;7;1903;758
ExperimentalSelect9;200;9;2466;1106
ExperimentalSelect3;200;3;1037;511
ExperimentalSelect5;200;5;1583;792
ExperimentalSelect7;200;7;1934;830
ExperimentalSelect9;200;9;2562;1145
ExperimentalSelect3;200;3;1166;488
ExperimentalSelect5;200;5;1413;659
ExperimentalSelect7;200;7;1833;814
ExperimentalSelect9;200;9;2183;904
ExperimentalSelect3;200;3;1246;481
ExperimentalSelect5;200;5;1502;653
ExperimentalSelect7;200;7;1916;809
ExperimentalSelect9;200;9;2381;973
ExperimentalSelect3;200;3;1460;583
ExperimentalSelect5;200;5;1668;682
ExperimentalSelect7;200;7;1987;781
ExperimentalSelect9;200;9;2488;1104
ExperimentalSelect3;200;3;895;453
ExperimentalSelect5;200;5;1348;584
ExperimentalSelect7;200;7;1989;875
ExperimentalSelect9;200;9;2570;1112
ExperimentalSelect3;200;3;1320;546
ExperimentalSelect5;200;5;1500;671
ExperimentalSelect7;200;7;1411;608
ExperimentalSelect9;200;9;2522;1014
ExperimentalSelect3;200;3;943;426
ExperimentalSelect5;200;5;1526;670
ExperimentalSelect7;200;7;2089;815
ExperimentalSelect9;200;9;2735;1065
ExperimentalSelect3;200;3;1266;559
ExperimentalSelect5;200;5;1859;750
ExperimentalSelect7;200;7;1866;789
ExperimentalSelect9;200;9;2567;1165
ExperimentalSelect3;200;3;1300;538
ExperimentalSelect5;200;5;1632;701
ExperimentalSelect7;200;7;1808;829
ExperimentalSelect9;200;9;2981;1334
ExperimentalSelect3;200;3;1285;568
ExperimentalSelect5;200;5;1365;620
ExperimentalSelect7;200;7;2021;801
ExperimentalSelect9;200;9;2454;1068
ExperimentalSelect3;200;3;1169;557
ExperimentalSelect5;200;5;1558;642
ExperimentalSelect7;200;7;1916;810
ExperimentalSelect9;200;9;2184;929
ExperimentalSelect3;200;3;880;440
ExperimentalSelect5;200;5;1461;632
ExperimentalSelect7;200;7;2000;895
ExperimentalSelect9;200;9;1750;723
ExperimentalSelect3;200;3;969;434
ExperimentalSelect5;200;5;1344;610
ExperimentalSelect7;200;7;1761;770
ExperimentalSelect9;200;9;1829;740
ExperimentalSelect3;200;3;1187;514
ExperimentalSelect5;200;5;1538;671
ExperimentalSelect7;200;7;2013;806
ExperimentalSelect9;200;9;2590;1068
ExperimentalSelect3;200;3;1127;523
ExperimentalSelect5;200;5;1291;592
ExperimentalSelect7;200;7;1446;647
ExperimentalSelect9;200;9;2408;1048
ExperimentalSelect3;200;3;1110;501
ExperimentalSelect5;200;5;1472;648
ExperimentalSelect7;200;7;2240;937
ExperimentalSelect9;200;9;2291;1019
ExperimentalSelect3;200;3;1235;543
ExperimentalSelect5;200;5;1393;613
ExperimentalSelect7;200;7;1641;690
ExperimentalSelect9;200;9;2538;1050
ExperimentalSelect3;200;3;1084;508
ExperimentalSelect5;200;5;1561;712
ExperimentalSelect7;200;7;1953;859
ExperimentalSelect9;200;9;2669;1003
ExperimentalSelect3;200;3;1182;541
ExperimentalSelect5;200;5;1498;638
ExperimentalSelect7;200;7;1707;851
ExperimentalSelect9;200;9;2511;1078
ExperimentalSelect3;200;3;1171;528
ExperimentalSelect5;200;5;1547;701
ExperimentalSelect7;200;7;2149;810
ExperimentalSelect9;200;9;2285;1047
ExperimentalSelect3;200;3;1169;554
ExperimentalSelect5;200;5;1575;643
ExperimentalSelect7;200;7;1763;814
ExperimentalSelect9;200;9;2576;1066
ExperimentalSelect3;200;3;1054;501
ExperimentalSelect5;200;5;1493;703
ExperimentalSelect7;200;7;1803;865
ExperimentalSelect9;200;9;2523;1050
ExperimentalSelect3;200;3;1212;529
ExperimentalSelect5;200;5;1363;606
ExperimentalSelect7;200;7;1914;774
ExperimentalSelect9;200;9;2604;1048
ExperimentalSelect3;200;3;1143;491
ExperimentalSelect5;200;5;1426;613
ExperimentalSelect7;200;7;1884;852
ExperimentalSelect9;200;9;2339;1000
ExperimentalSelect3;200;3;931;355
ExperimentalSelect5;200;5;1537;638
ExperimentalSelect7;200;7;2174;893
ExperimentalSelect9;200;9;2232;1022
ExperimentalSelect3;200;3;1172;484
ExperimentalSelect5;200;5;1440;652
ExperimentalSelect7;200;7;1813;802
ExperimentalSelect9;200;9;2274;960
ExperimentalSelect3;200;3;842;346
ExperimentalSelect5;200;5;1394;651
ExperimentalSelect7;200;7;1817;851
ExperimentalSelect9;200;9;2431;977
ExperimentalSelect3;200;3;1112;536
ExperimentalSelect5;200;5;1709;726
ExperimentalSelect7;200;7;1906;860
ExperimentalSelect9;200;9;2352;1000
ExperimentalSelect3;200;3;1168;488
ExperimentalSelect5;200;5;1647;713
ExperimentalSelect7;200;7;2017;856
ExperimentalSelect9;200;9;2224;1075
ExperimentalSelect3;200;3;1073;479
ExperimentalSelect5;200;5;1302;635
ExperimentalSelect7;200;7;1828;869
ExperimentalSelect9;200;9;2443;946
ExperimentalSelect3;200;3;1241;506
ExperimentalSelect5;200;5;1400;608
ExperimentalSelect7;200;7;2269;852
ExperimentalSelect9;200;9;2114;989
ExperimentalSelect3;200;3;1298;504
ExperimentalSelect5;200;5;1439;598
ExperimentalSelect7;200;7;1852;803
ExperimentalSelect9;200;9;2394;983
ExperimentalSelect3;200;3;1212;535
ExperimentalSelect5;200;5;1519;644
ExperimentalSelect7;200;7;1699;778
ExperimentalSelect9;200;9;2051;908
ExperimentalSelect3;200;3;963;432
ExperimentalSelect5;200;5;1297;633
