type;position;n;time;comps
coefficient;nowhere;14000;0.076961;1.887732
coefficient;random;14000;0.088578;1.794798
normal;beginning;15000;1.140000;25.400000
normal;middle;15000;1.160000;25.080000
normal;end;15000;1.140000;25.000000
normal;nowhere;15000;1.140000;26.000000
normal;random;15000;1.180000;24.480000
coefficient;beginning;15000;0.082176;1.830937
coefficient;middle;15000;0.083618;1.807871
coefficient;end;15000;0.082176;1.802104
coefficient;nowhere;15000;0.082176;1.874188
coefficient;random;15000;0.085059;1.764620
normal;beginning;16000;1.200000;24.640000
normal;middle;16000;1.100000;24.200000
normal;end;16000;1.140000;25.080000
normal;nowhere;16000;1.020000;26.000000
normal;random;16000;1.160000;25.560000
coefficient;beginning;16000;0.085924;1.764312
coefficient;middle;16000;0.078764;1.732806
coefficient;end;16000;0.081628;1.795818
coefficient;nowhere;16000;0.073036;1.861693
coefficient;random;16000;0.083060;1.830187
normal;beginning;17000;1.180000;25.280000
normal;middle;17000;1.240000;25.560000
normal;end;17000;1.140000;25.160000
normal;nowhere;17000;1.060000;28.000000
normal;random;17000;1.120000;25.400000
coefficient;beginning;17000;0.083966;1.798873
coefficient;middle;17000;0.088236;1.818797
coefficient;end;17000;0.081120;1.790334
coefficient;nowhere;17000;0.075427;1.992422
coefficient;random;17000;0.079697;1.807411
normal;beginning;18000;1.060000;24.920000
normal;middle;18000;1.140000;25.240000
normal;end;18000;1.100000;25.240000
normal;nowhere;18000;1.220000;28.000000
normal;random;18000;1.160000;25.640000
coefficient;beginning;18000;0.074987;1.762911
coefficient;middle;18000;0.080647;1.785549
coefficient;end;18000;0.077817;1.785549
coefficient;nowhere;18000;0.086306;1.980799
coefficient;random;18000;0.082062;1.813846
normal;beginning;19000;1.280000;25.440000
normal;middle;19000;1.240000;25.160000
normal;end;19000;1.200000;26.000000
normal;nowhere;19000;1.180000;28.000000
normal;random;19000;1.300000;26.040000
coefficient;beginning;19000;0.090054;1.789821
coefficient;middle;19000;0.087240;1.770122
coefficient;end;19000;0.084426;1.829220
coefficient;nowhere;19000;0.083018;1.969929
coefficient;random;19000;0.091461;1.832034
normal;beginning;20000;1.380000;25.720000
normal;middle;20000;1.300000;26.640000
normal;end;20000;1.220000;25.280000
normal;nowhere;20000;1.120000;28.000000
normal;random;20000;1.280000;25.360000
coefficient;beginning;20000;0.096586;1.800148
coefficient;middle;20000;0.090987;1.864539
coefficient;end;20000;0.085388;1.769353
coefficient;nowhere;20000;0.078389;1.959726
coefficient;random;20000;0.089587;1.774952
normal;beginning;21000;1.320000;25.640000
normal;middle;21000;1.720000;26.040000
normal;end;21000;1.340000;26.080000
normal;nowhere;21000;1.080000;28.000000
normal;random;21000;1.460000;26.320000
coefficient;beginning;21000;0.091934;1.785751
coefficient;middle;21000;0.119793;1.813610
coefficient;end;21000;0.093327;1.816396
coefficient;nowhere;21000;0.075219;1.950119
coefficient;random;21000;0.101685;1.833111
normal;beginning;22000;1.340000;25.960000
normal;middle;22000;1.280000;26.000000
normal;end;22000;1.280000;26.000000
normal;nowhere;22000;1.240000;28.000000
normal;random;22000;1.260000;26.160000
coefficient;beginning;22000;0.092893;1.799626
coefficient;middle;22000;0.088734;1.802399
coefficient;end;22000;0.088734;1.802399
coefficient;nowhere;22000;0.085961;1.941045
coefficient;random;22000;0.087347;1.813491
normal;beginning;23000;1.420000;26.680000
normal;middle;23000;1.560000;26.160000
normal;end;23000;1.440000;25.240000
normal;nowhere;23000;1.400000;28.000000
normal;random;23000;1.660000;26.120000
coefficient;beginning;23000;0.098003;1.841353
coefficient;middle;23000;0.107665;1.805464
coefficient;end;23000;0.099383;1.741970
coefficient;nowhere;23000;0.096623;1.932454
coefficient;random;23000;0.114567;1.802704
normal;beginning;24000;1.180000;25.200000
normal;middle;24000;1.280000;25.960000
normal;end;24000;1.320000;25.960000
normal;nowhere;24000;1.120000;28.000000
normal;random;24000;1.260000;26.640000
coefficient;beginning;24000;0.081095;1.731870
coefficient;middle;24000;0.087968;1.784101
coefficient;end;24000;0.090717;1.784101
coefficient;nowhere;24000;0.076972;1.924300
coefficient;random;24000;0.086593;1.830834
normal;beginning;25000;1.200000;26.360000
normal;middle;25000;1.140000;25.520000
normal;end;25000;1.200000;27.080000
normal;nowhere;25000;1.060000;28.000000
normal;random;25000;1.280000;26.600000
coefficient;beginning;25000;0.082138;1.804288
coefficient;middle;25000;0.078031;1.746792
coefficient;end;25000;0.082138;1.853571
coefficient;nowhere;25000;0.072555;1.916543
coefficient;random;25000;0.087613;1.820716
normal;beginning;26000;1.160000;26.560000
normal;middle;26000;1.180000;26.040000
normal;end;26000;1.140000;26.320000
normal;nowhere;26000;1.040000;28.000000
normal;random;26000;1.280000;26.520000
coefficient;beginning;26000;0.079093;1.810964
coefficient;middle;26000;0.080457;1.775508
coefficient;end;26000;0.077730;1.794600
