type;n;avg_comparisons;avg_swaps;
quick;1000;11012.380000;6192.040000;
hybrid;1000;11159.620000;5786.620000;
quick;2000;25075.260000;14305.800000;
hybrid;2000;25388.880000;13522.880000;
quick;3000;39197.580000;22034.260000;
hybrid;3000;39659.380000;20842.360000;
quick;4000;55018.980000;30649.760000;
hybrid;4000;55639.920000;29073.940000;
quick;5000;70612.420000;39045.000000;
hybrid;5000;71388.160000;37074.700000;
quick;6000;87369.000000;47745.640000;
hybrid;6000;88327.520000;45403.620000;
quick;7000;104260.040000;57879.760000;
hybrid;7000;105341.720000;55100.520000;
quick;8000;120530.760000;66932.640000;
hybrid;8000;121768.300000;63758.500000;
quick;9000;139105.460000;76552.900000;
hybrid;9000;140487.900000;72972.500000;
quick;10000;155510.560000;85901.380000;
hybrid;10000;157046.580000;81917.700000;
quick;11000;174768.400000;97051.660000;
hybrid;11000;176445.660000;92642.680000;
quick;12000;191791.960000;105451.840000;
hybrid;12000;193648.960000;100691.340000;
quick;13000;207565.720000;113916.700000;
hybrid;13000;209590.780000;108764.840000;
quick;14000;226229.500000;124302.740000;
hybrid;14000;228419.400000;118766.240000;
quick;15000;247463.200000;136110.540000;
hybrid;15000;249769.700000;130149.500000;
quick;16000;264009.980000;144950.960000;
hybrid;16000;266499.740000;138622.440000;
quick;17000;281921.880000;155772.620000;
hybrid;17000;284535.440000;149015.540000;
quick;18000;300278.800000;164898.440000;
hybrid;18000;303036.760000;157719.500000;
quick;19000;321836.440000;176797.120000;
hybrid;19000;324770.200000;169229.020000;
quick;20000;341153.540000;187977.940000;
hybrid;20000;344290.440000;180108.040000;
quick;21000;358359.180000;194159.300000;
hybrid;21000;361594.500000;185802.320000;
quick;22000;380656.500000;208381.520000;
hybrid;22000;384019.160000;199598.600000;
quick;23000;396930.340000;216147.020000;
hybrid;23000;400485.760000;207029.380000;
quick;24000;414851.940000;226969.280000;
hybrid;24000;418529.600000;217396.640000;
quick;25000;435583.320000;236724.480000;
hybrid;25000;439426.800000;226762.300000;
quick;26000;454554.300000;250529.920000;
hybrid;26000;458545.100000;240147.740000;
quick;27000;469876.860000;258541.640000;
hybrid;27000;474036.120000;247789.380000;
quick;28000;498467.280000;270627.360000;
hybrid;28000;502806.460000;259521.960000;
quick;29000;515934.320000;281616.700000;
hybrid;29000;520442.480000;270131.920000;
quick;30000;534154.280000;290201.120000;
hybrid;30000;538768.320000;278260.840000;
quick;31000;560087.920000;304367.300000;
hybrid;31000;564846.060000;292033.780000;
quick;32000;575590.620000;309844.240000;
hybrid;32000;580591.460000;297195.500000;
quick;33000;596275.620000;322915.460000;
hybrid;33000;601398.760000;309837.400000;
quick;34000;615735.560000;336752.180000;
hybrid;34000;620957.380000;323235.580000;
quick;35000;628168.060000;342828.440000;
hybrid;35000;633583.620000;328941.680000;
quick;36000;649516.480000;353301.180000;
hybrid;36000;655079.440000;338991.960000;
quick;37000;675564.560000;369496.040000;
hybrid;37000;681267.260000;354769.160000;
quick;38000;695594.720000;380656.300000;
hybrid;38000;701410.920000;365473.800000;
quick;39000;718808.620000;388322.180000;
hybrid;39000;724816.620000;372770.380000;
quick;40000;732536.420000;397355.520000;
hybrid;40000;738679.720000;381402.860000;
quick;41000;756320.080000;415121.860000;
hybrid;41000;762687.980000;398832.000000;
quick;42000;766301.420000;419376.620000;
hybrid;42000;772748.820000;402645.800000;
quick;43000;792285.900000;431039.780000;
hybrid;43000;798912.200000;413932.200000;
quick;44000;807211.060000;439341.660000;
hybrid;44000;813980.600000;421840.280000;
quick;45000;833097.700000;449283.160000;
hybrid;45000;840051.920000;431405.180000;
quick;46000;855264.300000;461916.860000;
hybrid;46000;862340.380000;443645.060000;
quick;47000;881616.820000;479449.900000;
hybrid;47000;888848.340000;460716.820000;
quick;48000;901185.540000;488563.640000;
hybrid;48000;908631.840000;469547.680000;
quick;49000;924201.000000;501355.400000;
hybrid;49000;931740.560000;481852.460000;
quick;50000;936512.500000;506974.640000;
hybrid;50000;944196.220000;487072.020000;
