type;n;k;comps;swaps;
insertion;10;100;26;17;
insertion;10;100;21;12;
insertion;10;100;35;26;
insertion;10;100;25;16;
insertion;10;100;37;28;
insertion;10;100;40;31;
insertion;10;100;25;16;
insertion;10;100;26;17;
insertion;10;100;25;16;
insertion;10;100;40;31;
insertion;10;100;26;17;
insertion;10;100;29;20;
insertion;10;100;26;17;
insertion;10;100;30;21;
insertion;10;100;30;21;
insertion;10;100;28;19;
insertion;10;100;17;8;
insertion;10;100;37;28;
insertion;10;100;41;32;
insertion;10;100;28;19;
insertion;10;100;42;33;
insertion;10;100;24;15;
insertion;10;100;25;16;
insertion;10;100;30;21;
insertion;10;100;27;18;
insertion;10;100;18;9;
insertion;10;100;33;24;
insertion;10;100;32;23;
insertion;10;100;24;15;
insertion;10;100;28;19;
insertion;10;100;42;33;
insertion;10;100;24;15;
insertion;10;100;27;18;
insertion;10;100;33;24;
insertion;10;100;36;27;
insertion;10;100;31;22;
insertion;10;100;34;25;
insertion;10;100;35;26;
insertion;10;100;33;24;
insertion;10;100;31;22;
insertion;10;100;38;29;
insertion;10;100;31;22;
insertion;10;100;15;6;
insertion;10;100;27;18;
insertion;10;100;36;27;
insertion;10;100;34;25;
insertion;10;100;27;18;
insertion;10;100;33;24;
insertion;10;100;37;28;
insertion;10;100;37;28;
insertion;10;100;26;17;
insertion;10;100;31;22;
insertion;10;100;23;14;
insertion;10;100;33;24;
insertion;10;100;33;24;
insertion;10;100;35;26;
insertion;10;100;29;20;
insertion;10;100;25;16;
insertion;10;100;19;10;
insertion;10;100;28;19;
insertion;10;100;24;15;
insertion;10;100;30;21;
insertion;10;100;27;18;
insertion;10;100;35;26;
insertion;10;100;35;26;
insertion;10;100;25;16;
insertion;10;100;29;20;
insertion;10;100;34;25;
insertion;10;100;19;10;
insertion;10;100;30;21;
insertion;10;100;27;18;
insertion;10;100;37;28;
insertion;10;100;26;17;
insertion;10;100;30;21;
insertion;10;100;34;25;
insertion;10;100;22;13;
insertion;10;100;32;23;
insertion;10;100;26;17;
insertion;10;100;23;14;
insertion;10;100;36;27;
insertion;10;100;18;9;
insertion;10;100;25;16;
insertion;10;100;37;28;
insertion;10;100;32;23;
insertion;10;100;39;30;
insertion;10;100;29;20;
insertion;10;100;25;16;
insertion;10;100;37;28;
insertion;10;100;34;25;
insertion;10;100;25;16;
insertion;10;100;27;18;
insertion;10;100;27;18;
insertion;10;100;23;14;
insertion;10;100;34;25;
insertion;10;100;25;16;
insertion;10;100;40;31;
insertion;10;100;35;26;
insertion;10;100;34;25;
insertion;10;100;33;24;
insertion;20;100;118;99;
insertion;20;100;119;100;
insertion;20;100;118;99;
insertion;20;100;114;95;
insertion;20;100;88;69;
insertion;20;100;104;85;
insertion;20;100;118;99;
insertion;20;100;100;81;
insertion;20;100;101;82;
insertion;20;100;120;101;
insertion;20;100;123;104;
insertion;20;100;98;79;
insertion;20;100;90;71;
insertion;20;100;129;110;
insertion;20;100;105;86;
insertion;20;100;122;103;
insertion;20;100;116;97;
insertion;20;100;114;95;
insertion;20;100;140;121;
insertion;20;100;97;78;
insertion;20;100;119;100;
insertion;20;100;121;102;
insertion;20;100;107;88;
insertion;20;100;117;98;
insertion;20;100;123;104;
insertion;20;100;103;84;
insertion;20;100;102;83;
insertion;20;100;111;92;
insertion;20;100;142;123;
insertion;20;100;93;74;
insertion;20;100;98;79;
insertion;20;100;117;98;
insertion;20;100;106;87;
insertion;20;100;140;121;
insertion;20;100;110;91;
insertion;20;100;117;98;
insertion;20;100;101;82;
insertion;20;100;92;73;
insertion;20;100;110;91;
insertion;20;100;120;101;
insertion;20;100;126;107;
insertion;20;100;94;75;
insertion;20;100;147;128;
insertion;20;100;126;107;
insertion;20;100;124;105;
insertion;20;100;99;80;
insertion;20;100;112;93;
insertion;20;100;133;114;
insertion;20;100;110;91;
insertion;20;100;127;108;
insertion;20;100;112;93;
insertion;20;100;100;81;
insertion;20;100;109;90;
insertion;20;100;134;115;
insertion;20;100;89;70;
insertion;20;100;99;80;
insertion;20;100;111;92;
insertion;20;100;124;105;
insertion;20;100;99;80;
insertion;20;100;102;83;
insertion;20;100;103;84;
insertion;20;100;102;83;
insertion;20;100;135;116;
insertion;20;100;94;75;
insertion;20;100;99;80;
insertion;20;100;103;84;
insertion;20;100;129;110;
insertion;20;100;100;81;
insertion;20;100;114;95;
insertion;20;100;116;97;
insertion;20;100;116;97;
insertion;20;100;115;96;
insertion;20;100;95;76;
insertion;20;100;134;115;
insertion;20;100;99;80;
insertion;20;100;141;122;
insertion;20;100;122;103;
insertion;20;100;126;107;
insertion;20;100;122;103;
insertion;20;100;112;93;
insertion;20;100;109;90;
insertion;20;100;110;91;
insertion;20;100;88;69;
insertion;20;100;101;82;
insertion;20;100;85;66;
insertion;20;100;122;103;
insertion;20;100;133;114;
insertion;20;100;105;86;
insertion;20;100;108;89;
insertion;20;100;90;71;
insertion;20;100;128;109;
insertion;20;100;125;106;
insertion;20;100;124;105;
insertion;20;100;115;96;
insertion;20;100;113;94;
insertion;20;100;103;84;
insertion;20;100;107;88;
insertion;20;100;126;107;
insertion;20;100;113;94;
insertion;20;100;122;103;
insertion;30;100;223;194;
insertion;30;100;245;216;
insertion;30;100;260;231;
insertion;30;100;242;213;
insertion;30;100;234;205;
insertion;30;100;273;244;
insertion;30;100;213;184;
insertion;30;100;243;214;
insertion;30;100;271;242;
insertion;30;100;247;218;
insertion;30;100;198;169;
insertion;30;100;238;209;
insertion;30;100;256;227;
insertion;30;100;267;238;
insertion;30;100;229;200;
insertion;30;100;255;226;
insertion;30;100;239;210;
insertion;30;100;261;232;
insertion;30;100;241;212;
insertion;30;100;232;203;
insertion;30;100;263;234;
insertion;30;100;241;212;
insertion;30;100;237;208;
insertion;30;100;274;245;
insertion;30;100;250;221;
insertion;30;100;231;202;
insertion;30;100;290;261;
insertion;30;100;251;222;
insertion;30;100;277;248;
insertion;30;100;221;192;
insertion;30;100;288;259;
insertion;30;100;253;224;
insertion;30;100;270;241;
insertion;30;100;231;202;
insertion;30;100;197;168;
insertion;30;100;319;290;
insertion;30;100;284;255;
insertion;30;100;243;214;
insertion;30;100;281;252;
insertion;30;100;279;250;
insertion;30;100;284;255;
insertion;30;100;244;215;
insertion;30;100;226;197;
insertion;30;100;252;223;
insertion;30;100;253;224;
insertion;30;100;314;285;
insertion;30;100;270;241;
insertion;30;100;239;210;
insertion;30;100;261;232;
insertion;30;100;265;236;
insertion;30;100;226;197;
insertion;30;100;194;165;
insertion;30;100;218;189;
insertion;30;100;248;219;
insertion;30;100;256;227;
insertion;30;100;174;145;
insertion;30;100;207;178;
insertion;30;100;224;195;
insertion;30;100;234;205;
insertion;30;100;231;202;
insertion;30;100;226;197;
insertion;30;100;235;206;
insertion;30;100;256;227;
insertion;30;100;216;187;
insertion;30;100;274;245;
insertion;30;100;259;230;
insertion;30;100;290;261;
insertion;30;100;228;199;
insertion;30;100;230;201;
insertion;30;100;252;223;
insertion;30;100;219;190;
insertion;30;100;270;241;
insertion;30;100;226;197;
insertion;30;100;258;229;
insertion;30;100;248;219;
insertion;30;100;275;246;
insertion;30;100;283;254;
insertion;30;100;276;247;
insertion;30;100;224;195;
insertion;30;100;227;198;
insertion;30;100;234;205;
insertion;30;100;246;217;
insertion;30;100;270;241;
insertion;30;100;207;178;
insertion;30;100;228;199;
insertion;30;100;237;208;
insertion;30;100;234;205;
insertion;30;100;251;222;
insertion;30;100;212;183;
insertion;30;100;255;226;
insertion;30;100;227;198;
insertion;30;100;263;234;
insertion;30;100;258;229;
insertion;30;100;244;215;
insertion;30;100;315;286;
insertion;30;100;266;237;
insertion;30;100;256;227;
insertion;30;100;282;253;
insertion;30;100;289;260;
insertion;30;100;214;185;
insertion;40;100;414;375;
insertion;40;100;347;308;
insertion;40;100;412;373;
insertion;40;100;383;344;
insertion;40;100;406;367;
insertion;40;100;444;405;
insertion;40;100;336;297;
insertion;40;100;419;380;
insertion;40;100;407;368;
insertion;40;100;458;419;
insertion;40;100;418;379;
insertion;40;100;454;415;
insertion;40;100;442;403;
insertion;40;100;431;392;
insertion;40;100;358;319;
insertion;40;100;480;441;
insertion;40;100;429;390;
insertion;40;100;448;409;
insertion;40;100;301;262;
insertion;40;100;454;415;
insertion;40;100;424;385;
insertion;40;100;418;379;
insertion;40;100;435;396;
insertion;40;100;456;417;
insertion;40;100;407;368;
insertion;40;100;484;445;
insertion;40;100;407;368;
insertion;40;100;387;348;
insertion;40;100;415;376;
insertion;40;100;430;391;
insertion;40;100;355;316;
insertion;40;100;426;387;
insertion;40;100;461;422;
insertion;40;100;471;432;
insertion;40;100;431;392;
insertion;40;100;353;314;
insertion;40;100;381;342;
insertion;40;100;439;400;
insertion;40;100;411;372;
insertion;40;100;439;400;
insertion;40;100;511;472;
insertion;40;100;421;382;
insertion;40;100;468;429;
insertion;40;100;450;411;
insertion;40;100;472;433;
insertion;40;100;415;376;
insertion;40;100;430;391;
insertion;40;100;416;377;
insertion;40;100;322;283;
insertion;40;100;341;302;
insertion;40;100;320;281;
insertion;40;100;385;346;
insertion;40;100;439;400;
insertion;40;100;415;376;
insertion;40;100;354;315;
insertion;40;100;437;398;
insertion;40;100;384;345;
insertion;40;100;329;290;
insertion;40;100;463;424;
insertion;40;100;378;339;
insertion;40;100;529;490;
insertion;40;100;527;488;
insertion;40;100;300;261;
insertion;40;100;464;425;
insertion;40;100;397;358;
insertion;40;100;450;411;
insertion;40;100;350;311;
insertion;40;100;391;352;
insertion;40;100;458;419;
insertion;40;100;408;369;
insertion;40;100;473;434;
insertion;40;100;432;393;
insertion;40;100;439;400;
insertion;40;100;396;357;
insertion;40;100;350;311;
insertion;40;100;371;332;
insertion;40;100;450;411;
insertion;40;100;378;339;
insertion;40;100;446;407;
insertion;40;100;437;398;
insertion;40;100;383;344;
insertion;40;100;376;337;
insertion;40;100;403;364;
insertion;40;100;396;357;
insertion;40;100;517;478;
insertion;40;100;437;398;
insertion;40;100;400;361;
insertion;40;100;414;375;
insertion;40;100;433;394;
insertion;40;100;426;387;
insertion;40;100;373;334;
insertion;40;100;463;424;
insertion;40;100;416;377;
insertion;40;100;359;320;
insertion;40;100;402;363;
insertion;40;100;435;396;
insertion;40;100;393;354;
insertion;40;100;496;457;
insertion;40;100;341;302;
insertion;40;100;389;350;
insertion;50;100;533;484;
insertion;50;100;644;595;
insertion;50;100;648;599;
insertion;50;100;665;616;
insertion;50;100;770;721;
insertion;50;100;658;609;
insertion;50;100;645;596;
insertion;50;100;710;661;
insertion;50;100;656;607;
insertion;50;100;545;496;
insertion;50;100;542;493;
insertion;50;100;700;651;
insertion;50;100;620;571;
insertion;50;100;641;592;
insertion;50;100;676;627;
insertion;50;100;602;553;
insertion;50;100;550;501;
insertion;50;100;603;554;
insertion;50;100;595;546;
insertion;50;100;805;756;
insertion;50;100;597;548;
insertion;50;100;716;667;
insertion;50;100;675;626;
insertion;50;100;673;624;
insertion;50;100;598;549;
insertion;50;100;802;753;
insertion;50;100;645;596;
insertion;50;100;592;543;
insertion;50;100;613;564;
insertion;50;100;690;641;
insertion;50;100;649;600;
insertion;50;100;743;694;
insertion;50;100;604;555;
insertion;50;100;635;586;
insertion;50;100;688;639;
insertion;50;100;700;651;
insertion;50;100;647;598;
insertion;50;100;673;624;
insertion;50;100;659;610;
insertion;50;100;719;670;
insertion;50;100;616;567;
insertion;50;100;726;677;
insertion;50;100;644;595;
insertion;50;100;609;560;
insertion;50;100;583;534;
insertion;50;100;785;736;
insertion;50;100;582;533;
insertion;50;100;744;695;
insertion;50;100;749;700;
insertion;50;100;560;511;
insertion;50;100;661;612;
insertion;50;100;607;558;
insertion;50;100;670;621;
insertion;50;100;652;603;
insertion;50;100;668;619;
insertion;50;100;604;555;
insertion;50;100;533;484;
insertion;50;100;754;705;
insertion;50;100;686;637;
insertion;50;100;712;663;
insertion;50;100;596;547;
insertion;50;100;623;574;
insertion;50;100;706;657;
insertion;50;100;592;543;
insertion;50;100;730;681;
insertion;50;100;720;671;
insertion;50;100;646;597;
insertion;50;100;607;558;
insertion;50;100;676;627;
insertion;50;100;533;484;
insertion;50;100;676;627;
insertion;50;100;622;573;
insertion;50;100;725;676;
insertion;50;100;734;685;
insertion;50;100;606;557;
insertion;50;100;628;579;
insertion;50;100;743;694;
insertion;50;100;697;648;
insertion;50;100;768;719;
insertion;50;100;665;616;
insertion;50;100;676;627;
insertion;50;100;691;642;
insertion;50;100;600;551;
insertion;50;100;705;656;
insertion;50;100;728;679;
insertion;50;100;681;632;
insertion;50;100;684;635;
insertion;50;100;771;722;
insertion;50;100;737;688;
insertion;50;100;766;717;
insertion;50;100;586;537;
insertion;50;100;593;544;
insertion;50;100;668;619;
insertion;50;100;611;562;
insertion;50;100;690;641;
insertion;50;100;613;564;
insertion;50;100;559;510;
insertion;50;100;573;524;
insertion;50;100;701;652;
insertion;50;100;725;676;
insertion;60;100;1068;1009;
insertion;60;100;790;731;
insertion;60;100;1010;951;
insertion;60;100;954;895;
insertion;60;100;1034;975;
insertion;60;100;944;885;
insertion;60;100;809;750;
insertion;60;100;909;850;
insertion;60;100;1013;954;
insertion;60;100;865;806;
insertion;60;100;941;882;
insertion;60;100;993;934;
insertion;60;100;878;819;
insertion;60;100;892;833;
insertion;60;100;1078;1019;
insertion;60;100;761;702;
insertion;60;100;924;865;
insertion;60;100;972;913;
insertion;60;100;883;824;
insertion;60;100;805;746;
insertion;60;100;960;901;
insertion;60;100;904;845;
insertion;60;100;889;830;
insertion;60;100;926;867;
insertion;60;100;853;794;
insertion;60;100;936;877;
insertion;60;100;995;936;
