type;n;avg_comparisons;avg_swaps;
quick;10;23.600000;18.820000;
insertion;10;28.440000;19.440000;
hybrid;10;28.440000;19.440000;
quick;20;70.860000;50.980000;
insertion;20;114.360000;95.360000;
hybrid;20;114.360000;95.360000;
quick;30;127.300000;86.040000;
insertion;30;245.940000;216.940000;
hybrid;30;168.080000;122.220000;
quick;40;188.640000;126.580000;
insertion;40;434.360000;395.360000;
hybrid;40;235.820000;165.200000;
quick;50;254.600000;164.940000;
insertion;50;664.280000;615.280000;
hybrid;50;317.700000;219.920000;
quick;60;333.260000;216.320000;
insertion;60;940.700000;881.700000;
hybrid;60;399.200000;268.860000;
quick;70;399.660000;265.040000;
insertion;70;1262.600000;1193.600000;
hybrid;70;473.180000;321.900000;
quick;80;479.400000;291.500000;
insertion;80;1651.920000;1572.920000;
hybrid;80;573.320000;373.380000;
quick;90;554.520000;353.000000;
insertion;90;2072.460000;1983.460000;
hybrid;90;660.480000;443.180000;
quick;100;642.360000;387.900000;
insertion;100;2548.580000;2449.580000;
hybrid;100;758.840000;489.120000;
quick;110;746.420000;464.960000;
insertion;110;3077.420000;2968.420000;
hybrid;110;869.900000;569.920000;
quick;120;833.640000;509.200000;
insertion;120;3665.820000;3546.820000;
hybrid;120;969.660000;622.620000;
quick;130;923.920000;559.820000;
insertion;130;4315.120000;4186.120000;
hybrid;130;1064.060000;675.440000;
quick;140;1012.640000;611.420000;
insertion;140;5017.900000;4878.900000;
hybrid;140;1171.820000;744.800000;
quick;150;1078.920000;677.220000;
insertion;150;5680.400000;5531.400000;
hybrid;150;1249.940000;818.460000;
quick;160;1171.320000;731.400000;
insertion;160;6577.620000;6418.620000;
hybrid;160;1350.560000;878.740000;
quick;170;1270.400000;768.200000;
insertion;170;7338.240000;7169.240000;
hybrid;170;1465.260000;932.220000;
quick;180;1398.740000;857.180000;
insertion;180;8232.680000;8053.680000;
hybrid;180;1595.000000;1016.780000;
quick;190;1478.900000;898.020000;
insertion;190;9087.020000;8898.020000;
hybrid;190;1701.260000;1082.960000;
