type;n;avg_comparisons;avg_swaps;
quick;10;23.760000;19.380000;
insertion;10;30.220000;21.220000;
hybrid;10;30.220000;21.220000;
quick;20;73.360000;51.080000;
insertion;20;107.580000;88.580000;
hybrid;20;79.260000;47.500000;
quick;30;129.700000;88.000000;
insertion;30;237.620000;208.620000;
hybrid;30;140.880000;84.000000;
quick;40;189.440000;125.420000;
insertion;40;421.200000;382.200000;
hybrid;40;206.240000;124.420000;
quick;50;259.860000;171.180000;
insertion;50;662.260000;613.260000;
hybrid;50;279.120000;168.280000;
quick;60;330.440000;213.540000;
insertion;60;936.000000;877.000000;
hybrid;60;351.980000;206.860000;
quick;70;399.400000;257.560000;
insertion;70;1270.180000;1201.180000;
hybrid;70;425.920000;250.720000;
quick;80;489.500000;302.940000;
insertion;80;1646.240000;1567.240000;
hybrid;80;519.780000;294.980000;
quick;90;556.760000;347.520000;
insertion;90;2042.980000;1953.980000;
hybrid;90;594.860000;345.900000;
quick;100;657.520000;407.640000;
insertion;100;2545.260000;2446.260000;
hybrid;100;694.160000;395.340000;
quick;110;721.600000;442.360000;
insertion;110;3066.680000;2957.680000;
hybrid;110;764.920000;436.100000;
quick;120;823.180000;522.960000;
insertion;120;3696.660000;3577.660000;
hybrid;120;868.840000;511.380000;
quick;130;886.140000;536.180000;
insertion;130;4328.580000;4199.580000;
hybrid;130;935.620000;526.700000;
quick;140;981.960000;598.820000;
insertion;140;4983.440000;4844.440000;
hybrid;140;1028.540000;578.160000;
quick;150;1089.500000;657.440000;
insertion;150;5643.060000;5494.060000;
hybrid;150;1143.380000;637.520000;
quick;160;1173.100000;698.980000;
insertion;160;6464.860000;6305.860000;
hybrid;160;1230.380000;681.280000;
quick;170;1273.580000;767.940000;
insertion;170;7378.020000;7209.020000;
hybrid;170;1338.900000;752.720000;
quick;180;1335.140000;809.240000;
insertion;180;8252.040000;8073.040000;
hybrid;180;1398.060000;788.780000;
quick;190;1460.560000;882.600000;
insertion;190;9133.380000;8944.380000;
hybrid;190;1529.820000;862.200000;
quick;200;1545.600000;942.500000;
insertion;200;10073.120000;9874.120000;
hybrid;200;1612.360000;909.680000;
quick;210;1662.860000;992.340000;
insertion;210;11125.060000;10916.060000;
hybrid;210;1738.540000;970.820000;
quick;220;1761.020000;1069.760000;
insertion;220;12257.300000;12038.300000;
hybrid;220;1834.580000;1037.500000;
quick;230;1903.880000;1133.060000;
insertion;230;13419.180000;13190.180000;
hybrid;230;1983.220000;1104.320000;
quick;240;1938.380000;1181.020000;
insertion;240;14604.780000;14365.780000;
hybrid;240;2023.160000;1155.200000;
quick;250;2039.520000;1220.620000;
insertion;250;15763.860000;15514.860000;
hybrid;250;2133.020000;1199.920000;
quick;260;2161.400000;1296.480000;
insertion;260;17242.800000;16983.800000;
hybrid;260;2248.720000;1265.740000;
quick;270;2274.220000;1314.940000;
insertion;270;18506.780000;18237.780000;
hybrid;270;2374.320000;1287.620000;
quick;280;2416.500000;1437.860000;
insertion;280;19836.260000;19557.260000;
hybrid;280;2523.120000;1415.000000;
