type;n;avg_comparisons;avg_swaps;
quick;1000;10986.440000;6216.140000;
hybrid;1000;11246.300000;5955.580000;
quick;2000;24749.160000;14010.040000;
hybrid;2000;25267.020000;13487.920000;
quick;3000;39612.780000;22344.180000;
hybrid;3000;40397.500000;21577.140000;
quick;4000;55548.460000;31058.160000;
hybrid;4000;56550.580000;29982.680000;
quick;5000;71176.680000;39578.080000;
hybrid;5000;72426.020000;38237.200000;
quick;6000;86938.180000;48078.280000;
hybrid;6000;88480.860000;46486.340000;
quick;7000;103377.860000;57131.320000;
hybrid;7000;105160.400000;55296.480000;
quick;8000;119917.240000;66396.640000;
hybrid;8000;121945.780000;64276.040000;
quick;9000;138792.440000;77052.560000;
hybrid;9000;141098.980000;74686.140000;
quick;10000;154431.760000;84881.180000;
hybrid;10000;156996.920000;82242.340000;
quick;11000;172767.120000;94498.940000;
hybrid;11000;175573.140000;91582.680000;
quick;12000;190792.820000;104723.880000;
hybrid;12000;193864.100000;101575.140000;
quick;13000;210386.040000;114900.580000;
hybrid;13000;213705.240000;111448.380000;
quick;14000;228129.720000;125117.620000;
hybrid;14000;231696.200000;121404.720000;
quick;15000;245796.900000;134092.020000;
hybrid;15000;249672.460000;130181.820000;
quick;16000;263401.180000;145042.680000;
hybrid;16000;267474.880000;140799.680000;
quick;17000;283795.860000;156738.120000;
hybrid;17000;288130.740000;152256.660000;
quick;18000;299989.200000;163138.660000;
hybrid;18000;304553.240000;158335.720000;
quick;19000;322514.300000;176104.980000;
hybrid;19000;327327.340000;171042.360000;
quick;20000;341050.760000;186763.360000;
hybrid;20000;346159.240000;181496.600000;
quick;21000;356947.940000;196687.380000;
hybrid;21000;362280.260000;191117.440000;
quick;22000;376010.460000;203160.780000;
hybrid;22000;381649.860000;197361.240000;
quick;23000;396152.640000;214029.780000;
hybrid;23000;401979.480000;207912.800000;
quick;24000;414052.120000;223408.120000;
hybrid;24000;420182.580000;217075.740000;
quick;25000;434564.080000;234353.980000;
hybrid;25000;440863.240000;227616.720000;
quick;26000;456996.960000;250275.760000;
hybrid;26000;463669.580000;243459.640000;
quick;27000;478527.060000;259463.380000;
hybrid;27000;485468.820000;252361.720000;
quick;28000;494787.980000;268505.420000;
hybrid;28000;501929.900000;261093.600000;
quick;29000;518042.440000;282307.060000;
hybrid;29000;525425.960000;274610.580000;
quick;30000;537910.940000;291614.040000;
hybrid;30000;545511.260000;283635.720000;
quick;31000;552642.760000;301648.320000;
hybrid;31000;560557.540000;293460.280000;
quick;32000;577417.460000;317408.200000;
hybrid;32000;585543.960000;308883.900000;
quick;33000;592247.520000;320099.040000;
hybrid;33000;600666.940000;311347.720000;
quick;34000;613372.220000;336039.240000;
hybrid;34000;621995.540000;326978.180000;
quick;35000;635031.440000;344495.280000;
hybrid;35000;643996.020000;335289.980000;
quick;36000;654652.960000;355078.800000;
hybrid;36000;663842.060000;345585.460000;
quick;37000;675149.320000;366396.780000;
hybrid;37000;684573.300000;356588.600000;
quick;38000;688089.980000;375960.000000;
hybrid;38000;697746.420000;365847.300000;
quick;39000;712688.120000;388104.740000;
hybrid;39000;722582.120000;377777.160000;
quick;40000;736943.840000;398265.160000;
hybrid;40000;747128.560000;387689.080000;
quick;41000;754425.960000;416525.700000;
hybrid;41000;764812.240000;405613.680000;
quick;42000;778735.300000;422473.820000;
hybrid;42000;789362.720000;411205.300000;
quick;43000;786357.720000;428641.600000;
hybrid;43000;797273.720000;417186.960000;
quick;44000;816261.400000;437649.700000;
hybrid;44000;827447.920000;425962.240000;
quick;45000;839120.900000;450734.780000;
hybrid;45000;850571.920000;438774.940000;
quick;46000;856769.980000;465755.520000;
hybrid;46000;868496.020000;453568.520000;
quick;47000;875861.700000;476788.480000;
hybrid;47000;887819.460000;464313.020000;
quick;48000;896035.380000;489130.440000;
hybrid;48000;908309.720000;476493.460000;
quick;49000;920416.020000;495602.900000;
hybrid;49000;932980.320000;482712.200000;
quick;50000;938651.440000;510760.200000;
hybrid;50000;951461.260000;497533.160000;
