type;n;avg_comparisons;avg_swaps;
quick;1000;11155.320000;6260.540000;
hybrid;1000;11511.160000;6147.460000;
quick;2000;24673.520000;13976.920000;
hybrid;2000;25376.660000;13730.200000;
quick;3000;39388.880000;21964.540000;
hybrid;3000;40441.860000;21595.380000;
quick;4000;55171.460000;30694.000000;
hybrid;4000;56580.260000;30217.040000;
quick;5000;70880.420000;39688.800000;
hybrid;5000;72661.220000;39118.140000;
quick;6000;87766.220000;48533.500000;
hybrid;6000;89921.820000;47877.420000;
quick;7000;104376.160000;57413.000000;
hybrid;7000;106843.160000;56580.780000;
quick;8000;122102.020000;67052.160000;
hybrid;8000;124955.720000;66119.160000;
quick;9000;137545.280000;74711.140000;
hybrid;9000;140733.280000;73656.160000;
quick;10000;155086.700000;85880.620000;
hybrid;10000;158584.000000;84655.140000;
quick;11000;172992.000000;97123.740000;
hybrid;11000;176875.160000;95826.380000;
quick;12000;190922.180000;105498.260000;
hybrid;12000;195144.020000;104024.360000;
quick;13000;208274.300000;114441.900000;
hybrid;13000;212875.520000;112914.440000;
quick;14000;228200.640000;126519.060000;
hybrid;14000;233174.500000;124887.300000;
quick;15000;245577.000000;132958.800000;
hybrid;15000;250867.680000;131144.960000;
quick;16000;266510.120000;148221.320000;
hybrid;16000;272187.360000;146337.660000;
quick;17000;281605.440000;155839.060000;
hybrid;17000;287545.380000;153699.900000;
quick;18000;300732.000000;164345.320000;
hybrid;18000;307135.760000;162268.040000;
quick;19000;318713.000000;174001.100000;
hybrid;19000;325446.060000;171753.020000;
quick;20000;342585.640000;187975.940000;
hybrid;20000;349612.400000;185602.060000;
quick;21000;356587.940000;191196.820000;
hybrid;21000;364044.280000;188753.620000;
quick;22000;379046.200000;207681.880000;
hybrid;22000;386813.540000;205080.440000;
quick;23000;397858.760000;219679.220000;
hybrid;23000;406037.860000;216981.620000;
quick;24000;418795.140000;227999.800000;
hybrid;24000;427318.420000;225190.300000;
quick;25000;434188.320000;238413.480000;
hybrid;25000;443059.120000;235457.820000;
quick;26000;459835.420000;249332.200000;
hybrid;26000;469108.520000;246340.520000;
quick;27000;478945.240000;257309.000000;
hybrid;27000;488544.940000;254171.660000;
quick;28000;494210.880000;269441.940000;
hybrid;28000;504058.800000;266093.040000;
quick;29000;518412.020000;280236.720000;
hybrid;29000;528684.580000;276817.240000;
quick;30000;528835.920000;286994.340000;
hybrid;30000;539466.020000;283495.940000;
quick;31000;549850.720000;298056.160000;
hybrid;31000;560872.540000;294474.920000;
quick;32000;567936.700000;310629.400000;
hybrid;32000;579303.680000;306934.900000;
quick;33000;589843.360000;324747.320000;
hybrid;33000;601526.840000;320843.760000;
quick;34000;612559.540000;334288.620000;
hybrid;34000;624576.420000;330295.720000;
quick;35000;628460.040000;343254.480000;
hybrid;35000;640805.120000;339067.360000;
quick;36000;652627.080000;355596.860000;
hybrid;36000;665363.620000;351343.820000;
quick;37000;675237.100000;365447.760000;
hybrid;37000;688390.840000;361120.080000;
quick;38000;693042.060000;374804.400000;
hybrid;38000;706338.240000;370131.860000;
quick;39000;709238.180000;383703.720000;
hybrid;39000;722987.280000;378982.520000;
quick;40000;734163.020000;400462.360000;
hybrid;40000;748395.420000;395792.600000;
quick;41000;752334.800000;413598.960000;
hybrid;41000;766807.920000;408676.560000;
quick;42000;769172.960000;418063.420000;
hybrid;42000;784008.080000;413051.960000;
quick;43000;799561.240000;429592.760000;
hybrid;43000;814754.480000;424543.980000;
quick;44000;816325.520000;444158.880000;
hybrid;44000;831938.660000;438984.280000;
quick;45000;844453.520000;459653.960000;
hybrid;45000;860411.040000;454355.280000;
quick;46000;852705.880000;465975.460000;
hybrid;46000;868939.060000;460505.040000;
quick;47000;871835.680000;472328.280000;
hybrid;47000;888400.860000;466709.720000;
quick;48000;901428.080000;487230.120000;
hybrid;48000;918420.640000;481546.560000;
quick;49000;912218.620000;495356.080000;
hybrid;49000;929563.860000;489566.280000;
quick;50000;940990.520000;516324.180000;
hybrid;50000;958724.020000;510452.220000;
