type;n;avg_comparisons;avg_swaps;
quick;10;24.020000;18.960000;
insertion;10;29.440000;20.440000;
hybrid;10;29.440000;20.440000;
quick;20;71.000000;50.220000;
insertion;20;113.560000;94.560000;
hybrid;20;113.560000;94.560000;
quick;30;126.800000;87.320000;
insertion;30;241.420000;212.420000;
hybrid;30;241.420000;212.420000;
quick;40;192.680000;124.660000;
insertion;40;432.460000;393.460000;
hybrid;40;281.400000;218.260000;
quick;50;259.980000;167.560000;
insertion;50;663.380000;614.380000;
hybrid;50;373.080000;283.120000;
quick;60;329.480000;216.240000;
insertion;60;941.440000;882.440000;
hybrid;60;456.620000;347.000000;
quick;70;403.960000;250.060000;
insertion;70;1282.980000;1213.980000;
hybrid;70;559.620000;413.440000;
quick;80;482.640000;303.000000;
insertion;80;1643.160000;1564.160000;
hybrid;80;661.080000;490.880000;
quick;90;564.940000;354.920000;
insertion;90;2094.940000;2005.940000;
hybrid;90;770.400000;565.000000;
quick;100;652.000000;394.080000;
insertion;100;2565.020000;2466.020000;
hybrid;100;857.380000;599.520000;
quick;110;726.180000;441.100000;
insertion;110;3117.480000;3008.480000;
hybrid;110;967.080000;688.680000;
quick;120;829.300000;513.840000;
insertion;120;3622.820000;3503.820000;
hybrid;120;1099.920000;798.780000;
quick;130;913.180000;550.780000;
insertion;130;4290.860000;4161.860000;
hybrid;130;1202.200000;850.980000;
quick;140;983.620000;604.040000;
insertion;140;5008.800000;4869.800000;
hybrid;140;1298.740000;930.600000;
quick;150;1089.120000;664.280000;
insertion;150;5719.780000;5570.780000;
hybrid;150;1431.020000;1019.540000;
quick;160;1183.880000;726.500000;
insertion;160;6500.200000;6341.200000;
hybrid;160;1532.680000;1081.220000;
quick;170;1286.580000;778.020000;
insertion;170;7282.420000;7113.420000;
hybrid;170;1652.700000;1151.040000;
quick;180;1382.820000;845.620000;
insertion;180;8187.700000;8008.700000;
hybrid;180;1795.640000;1268.660000;
quick;190;1436.760000;864.520000;
insertion;190;9231.720000;9042.720000;
hybrid;190;1868.440000;1316.640000;
quick;200;1569.920000;937.240000;
insertion;200;10134.440000;9935.440000;
hybrid;200;2028.120000;1401.860000;
quick;210;1666.840000;983.300000;
insertion;210;11259.280000;11050.280000;
hybrid;210;2101.280000;1425.380000;
quick;220;1739.760000;1053.920000;
insertion;220;12322.160000;12103.160000;
hybrid;220;2226.480000;1553.320000;
quick;230;1857.600000;1101.180000;
insertion;230;13457.820000;13228.820000;
hybrid;230;2350.440000;1612.620000;
quick;240;1983.440000;1151.140000;
insertion;240;14625.840000;14386.840000;
hybrid;240;2502.960000;1695.760000;
quick;250;2029.400000;1201.480000;
insertion;250;15871.120000;15622.120000;
hybrid;250;2577.900000;1767.040000;
quick;260;2155.700000;1304.200000;
insertion;260;16951.820000;16692.820000;
hybrid;260;2715.200000;1878.740000;
quick;270;2253.720000;1336.580000;
insertion;270;18617.740000;18348.740000;
hybrid;270;2843.500000;1942.760000;
quick;280;2368.160000;1420.940000;
insertion;280;19839.260000;19560.260000;
hybrid;280;2980.700000;2053.440000;
quick;290;2488.980000;1467.980000;
insertion;290;21263.440000;20974.440000;
hybrid;290;3126.540000;2127.400000;
quick;300;2593.220000;1538.640000;
insertion;300;22777.860000;22478.860000;
hybrid;300;3256.260000;2211.560000;
quick;310;2698.160000;1588.600000;
insertion;310;24032.780000;23723.780000;
hybrid;310;3347.160000;2240.980000;
quick;320;2779.320000;1637.280000;
insertion;320;25800.020000;25481.020000;
hybrid;320;3458.780000;2334.140000;
quick;330;2884.760000;1685.180000;
insertion;330;27518.560000;27189.560000;
hybrid;330;3613.680000;2441.060000;
quick;340;3071.760000;1809.360000;
insertion;340;29095.440000;28756.440000;
hybrid;340;3811.900000;2566.960000;
quick;350;3133.040000;1803.520000;
insertion;350;30924.980000;30575.980000;
hybrid;350;3885.500000;2576.420000;
quick;360;3246.940000;1902.340000;
insertion;360;32875.520000;32516.520000;
hybrid;360;4009.400000;2679.380000;
quick;370;3360.860000;1966.500000;
insertion;370;34635.840000;34266.840000;
hybrid;370;4145.700000;2772.340000;
quick;380;3449.020000;1977.400000;
insertion;380;36588.060000;36209.060000;
hybrid;380;4269.340000;2822.940000;
quick;390;3533.420000;2090.960000;
insertion;390;38009.560000;37620.560000;
hybrid;390;4398.000000;2978.060000;
quick;400;3651.380000;2177.340000;
insertion;400;40061.640000;39662.640000;
hybrid;400;4513.280000;3068.760000;
quick;410;3823.160000;2284.920000;
insertion;410;42337.220000;41928.220000;
hybrid;410;4696.900000;3191.480000;
quick;420;3920.220000;2309.820000;
insertion;420;44771.980000;44352.980000;
hybrid;420;4810.460000;3213.980000;
quick;430;4012.620000;2347.660000;
insertion;430;46424.340000;45995.340000;
hybrid;430;4936.840000;3308.340000;
quick;440;4130.140000;2394.580000;
insertion;440;48552.140000;48113.140000;
hybrid;440;5107.300000;3386.220000;
quick;450;4201.760000;2450.780000;
insertion;450;51051.880000;50602.880000;
hybrid;450;5164.400000;3437.220000;
quick;460;4287.700000;2487.940000;
insertion;460;53279.540000;52820.540000;
hybrid;460;5275.100000;3502.980000;
quick;470;4515.600000;2584.880000;
insertion;470;55896.940000;55427.940000;
hybrid;470;5524.140000;3629.360000;
quick;480;4632.140000;2747.920000;
insertion;480;58242.140000;57763.140000;
hybrid;480;5679.180000;3835.260000;
quick;490;4769.940000;2770.840000;
insertion;490;60202.900000;59713.900000;
hybrid;490;5834.780000;3854.980000;
quick;500;4849.380000;2811.320000;
insertion;500;62579.220000;62080.220000;
hybrid;500;5947.780000;3935.660000;
quick;510;4969.120000;2911.200000;
insertion;510;65045.500000;64536.500000;
hybrid;510;6081.760000;4033.820000;
quick;520;5027.720000;2936.080000;
insertion;520;68010.400000;67491.400000;
hybrid;520;6157.440000;4089.180000;
quick;530;5120.360000;2973.840000;
insertion;530;70281.760000;69752.760000;
hybrid;530;6262.920000;4139.280000;
quick;540;5201.540000;3016.600000;
insertion;540;73440.080000;72901.080000;
hybrid;540;6419.540000;4277.500000;
quick;550;5390.160000;3195.580000;
insertion;550;76030.780000;75481.780000;
hybrid;550;6572.260000;4407.560000;
quick;560;5535.300000;3241.620000;
insertion;560;78670.700000;78111.700000;
hybrid;560;6760.880000;4512.420000;
quick;570;5597.480000;3208.340000;
insertion;570;81988.940000;81419.940000;
hybrid;570;6881.480000;4527.620000;
quick;580;5704.500000;3328.880000;
insertion;580;84413.840000;83834.840000;
hybrid;580;6955.540000;4611.780000;
quick;590;5936.900000;3427.120000;
insertion;590;87361.740000;86772.740000;
hybrid;590;7192.920000;4699.560000;
quick;600;6010.280000;3529.320000;
insertion;600;89458.540000;88859.540000;
hybrid;600;7305.620000;4852.400000;
quick;610;6116.520000;3511.620000;
insertion;610;92652.960000;92043.960000;
hybrid;610;7418.100000;4862.280000;
quick;620;6166.060000;3589.400000;
insertion;620;96817.340000;96198.340000;
hybrid;620;7524.420000;4975.940000;
quick;630;6484.700000;3670.340000;
insertion;630;99755.440000;99126.440000;
hybrid;630;7816.080000;5020.860000;
quick;640;6554.260000;3777.220000;
insertion;640;102899.020000;102260.020000;
hybrid;640;7924.960000;5175.040000;
quick;650;6531.160000;3733.020000;
insertion;650;106216.560000;105567.560000;
hybrid;650;7967.020000;5217.680000;
quick;660;6744.840000;3863.400000;
insertion;660;109011.100000;108352.100000;
hybrid;660;8166.760000;5313.920000;
quick;670;6868.280000;3924.980000;
insertion;670;113384.280000;112715.280000;
hybrid;670;8286.620000;5369.920000;
quick;680;6911.400000;4034.160000;
insertion;680;116196.960000;115517.960000;
hybrid;680;8384.380000;5541.520000;
quick;690;6981.940000;4060.380000;
insertion;690;119791.800000;119102.800000;
hybrid;690;8443.400000;5543.500000;
quick;700;7160.620000;4137.600000;
insertion;700;122969.980000;122270.980000;
hybrid;700;8663.760000;5676.540000;
quick;710;7342.260000;4306.260000;
insertion;710;126393.480000;125684.480000;
hybrid;710;8878.300000;5874.560000;
quick;720;7514.060000;4341.100000;
insertion;720;129855.280000;129136.280000;
hybrid;720;9046.860000;5909.700000;
quick;730;7680.840000;4435.180000;
insertion;730;133053.100000;132324.100000;
hybrid;730;9235.780000;6030.560000;
quick;740;7645.720000;4377.120000;
insertion;740;137396.440000;136657.440000;
hybrid;740;9261.840000;6020.840000;
quick;750;7849.280000;4443.220000;
insertion;750;140276.580000;139527.580000;
hybrid;750;9498.740000;6142.500000;
quick;760;7940.900000;4607.120000;
insertion;760;144844.600000;144085.600000;
hybrid;760;9636.620000;6381.800000;
quick;770;8064.800000;4623.900000;
insertion;770;148340.640000;147571.640000;
hybrid;770;9707.480000;6325.100000;
quick;780;8272.800000;4760.480000;
insertion;780;152817.020000;152038.020000;
hybrid;780;10016.040000;6554.100000;
quick;790;8302.000000;4740.400000;
insertion;790;155915.620000;155126.620000;
hybrid;790;9992.620000;6486.220000;
quick;800;8389.980000;4729.560000;
insertion;800;159557.140000;158758.140000;
hybrid;800;10170.700000;6563.520000;
quick;810;8497.680000;4968.520000;
insertion;810;165295.980000;164486.980000;
hybrid;810;10218.100000;6730.060000;
quick;820;8808.760000;5034.120000;
insertion;820;168712.900000;167893.900000;
hybrid;820;10586.160000;6865.900000;
quick;830;8803.040000;5076.460000;
insertion;830;173633.420000;172804.420000;
hybrid;830;10606.560000;6917.260000;
quick;840;8985.520000;5195.440000;
insertion;840;176340.440000;175501.440000;
hybrid;840;10801.160000;7054.220000;
quick;850;8948.640000;5137.260000;
insertion;850;181472.720000;180623.720000;
hybrid;850;10809.500000;7044.300000;
quick;860;9042.080000;5157.460000;
insertion;860;184603.060000;183744.060000;
hybrid;860;10950.520000;7108.380000;
quick;870;9326.560000;5372.580000;
insertion;870;189589.260000;188720.260000;
hybrid;870;11208.320000;7295.960000;
quick;880;9423.300000;5392.120000;
insertion;880;194436.000000;193557.000000;
hybrid;880;11307.100000;7334.740000;
quick;890;9440.820000;5360.200000;
insertion;890;198422.720000;197533.720000;
hybrid;890;11324.120000;7290.700000;
quick;900;9665.300000;5636.140000;
insertion;900;201979.880000;201080.880000;
hybrid;900;11630.980000;7637.600000;
