type;n;avg_comparisons;avg_swaps;
quick;1000;10943.200000;6259.580000;
hybrid;1000;13084.140000;8440.180000;
quick;2000;24788.960000;14131.280000;
hybrid;2000;29140.540000;18588.240000;
quick;3000;39203.140000;22249.240000;
hybrid;3000;45740.300000;28951.740000;
quick;4000;54923.300000;30728.240000;
hybrid;4000;63511.100000;39546.060000;
quick;5000;71461.820000;40232.640000;
hybrid;5000;82298.800000;51327.380000;
quick;6000;87986.500000;48174.140000;
hybrid;6000;100888.660000;61419.720000;
quick;7000;103209.160000;56949.360000;
hybrid;7000;118258.580000;72337.860000;
quick;8000;121661.480000;67694.420000;
hybrid;8000;139121.080000;85570.000000;
quick;9000;137855.300000;75614.980000;
hybrid;9000;157385.020000;95606.360000;
quick;10000;154665.240000;85495.620000;
hybrid;10000;176248.940000;107590.520000;
quick;11000;172629.520000;95855.420000;
hybrid;11000;196347.120000;120170.120000;
quick;12000;193581.060000;106438.540000;
hybrid;12000;219338.720000;132826.140000;
quick;13000;208361.280000;115341.160000;
hybrid;13000;236321.400000;144007.100000;
quick;14000;226009.820000;124203.740000;
hybrid;14000;256128.840000;155017.520000;
quick;15000;246168.240000;134233.280000;
hybrid;15000;278675.420000;167488.540000;
quick;16000;266297.800000;143228.920000;
hybrid;16000;300901.180000;178740.220000;
quick;17000;282968.260000;154641.640000;
hybrid;17000;319531.460000;192125.200000;
quick;18000;300912.680000;166885.960000;
hybrid;18000;339636.100000;206607.780000;
quick;19000;319564.140000;174911.660000;
hybrid;19000;360455.660000;216805.500000;
quick;20000;338055.680000;185171.000000;
hybrid;20000;381231.660000;229472.580000;
quick;21000;361571.720000;197654.840000;
hybrid;21000;407020.920000;244231.080000;
quick;22000;377727.040000;206520.780000;
hybrid;22000;425102.480000;255062.640000;
quick;23000;395336.240000;214355.420000;
hybrid;23000;445128.840000;265361.740000;
quick;24000;419050.760000;229294.460000;
hybrid;24000;470853.580000;282361.980000;
quick;25000;438879.300000;236741.860000;
hybrid;25000;492925.440000;292140.480000;
quick;26000;452025.180000;247026.260000;
hybrid;26000;508299.520000;304696.920000;
quick;27000;474967.000000;256316.820000;
hybrid;27000;533476.920000;316287.840000;
quick;28000;491772.380000;265904.240000;
hybrid;28000;552252.380000;327868.560000;
quick;29000;511164.060000;277353.120000;
hybrid;29000;573894.560000;341681.900000;
quick;30000;538167.760000;294669.200000;
hybrid;30000;603114.800000;361244.260000;
quick;31000;552497.280000;297620.600000;
hybrid;31000;619613.820000;366337.860000;
quick;32000;571410.640000;310183.920000;
hybrid;32000;640644.960000;381170.280000;
quick;33000;594766.720000;325519.420000;
hybrid;33000;666182.460000;398660.960000;
quick;34000;613021.260000;332224.660000;
hybrid;34000;686308.620000;407365.980000;
quick;35000;631282.780000;340391.560000;
hybrid;35000;706844.640000;417854.420000;
quick;36000;657685.200000;355985.020000;
hybrid;36000;735678.400000;435979.320000;
quick;37000;676324.200000;365363.780000;
hybrid;37000;756209.760000;447328.820000;
quick;38000;699074.800000;377417.520000;
hybrid;38000;781239.740000;461547.900000;
quick;39000;715162.260000;391336.900000;
hybrid;39000;799465.140000;477707.780000;
quick;40000;730408.380000;401324.560000;
hybrid;40000;816802.300000;489760.700000;
quick;41000;750690.480000;406441.740000;
hybrid;41000;839311.580000;497311.820000;
quick;42000;774187.160000;423616.960000;
hybrid;42000;865119.260000;516744.060000;
quick;43000;795590.100000;431615.120000;
hybrid;43000;888462.660000;526835.920000;
quick;44000;814048.860000;442669.720000;
hybrid;44000;909132.820000;539954.860000;
quick;45000;832934.760000;454469.980000;
hybrid;45000;930733.280000;554721.800000;
quick;46000;849381.660000;464554.620000;
hybrid;46000;949075.560000;566636.060000;
quick;47000;883215.700000;475516.400000;
hybrid;47000;984984.540000;579783.300000;
quick;48000;895456.760000;490076.400000;
hybrid;48000;999560.020000;596687.120000;
quick;49000;922718.840000;498517.700000;
hybrid;49000;1028650.720000;607097.320000;
quick;50000;942588.620000;512479.660000;
hybrid;50000;1050394.180000;623017.420000;
