type;n;avg_comparisons;avg_swaps;
quick;10;25.520000;19.980000;
insertion;10;31.480000;22.480000;
hybrid;10;27.540000;16.160000;
quick;20;72.120000;53.320000;
insertion;20;111.980000;92.980000;
hybrid;20;75.340000;45.300000;
quick;30;131.940000;89.900000;
insertion;30;244.840000;215.840000;
hybrid;30;135.920000;76.720000;
quick;40;187.800000;125.920000;
insertion;40;417.660000;378.660000;
hybrid;40;193.880000;108.880000;
quick;50;260.580000;172.480000;
insertion;50;647.760000;598.760000;
hybrid;50;268.680000;151.540000;
quick;60;330.040000;214.080000;
insertion;60;931.320000;872.320000;
hybrid;60;340.420000;191.080000;
quick;70;408.420000;264.200000;
insertion;70;1265.040000;1196.040000;
hybrid;70;420.300000;237.240000;
quick;80;483.740000;301.300000;
insertion;80;1669.280000;1590.280000;
hybrid;80;497.700000;270.940000;
quick;90;572.260000;355.880000;
insertion;90;2068.260000;1979.260000;
hybrid;90;588.680000;322.260000;
quick;100;644.920000;394.420000;
insertion;100;2536.260000;2437.260000;
hybrid;100;660.820000;354.560000;
quick;110;742.400000;455.340000;
insertion;110;3124.540000;3015.540000;
hybrid;110;759.380000;412.060000;
quick;120;804.300000;484.720000;
insertion;120;3632.100000;3513.100000;
hybrid;120;824.960000;438.180000;
quick;130;905.520000;552.900000;
insertion;130;4328.740000;4199.740000;
hybrid;130;925.140000;499.200000;
quick;140;979.580000;577.800000;
insertion;140;4958.780000;4819.780000;
hybrid;140;999.200000;519.680000;
quick;150;1085.320000;659.940000;
insertion;150;5687.800000;5538.800000;
hybrid;150;1109.040000;600.720000;
quick;160;1183.460000;704.540000;
insertion;160;6543.860000;6384.860000;
hybrid;160;1206.600000;635.420000;
quick;170;1286.960000;770.860000;
insertion;170;7365.300000;7196.300000;
hybrid;170;1313.340000;701.640000;
quick;180;1370.920000;821.080000;
insertion;180;8214.420000;8035.420000;
hybrid;180;1400.100000;750.800000;
quick;190;1487.760000;864.720000;
insertion;190;9122.580000;8933.580000;
hybrid;190;1519.920000;794.940000;
quick;200;1542.680000;935.200000;
insertion;200;10138.000000;9939.000000;
hybrid;200;1573.940000;855.780000;
quick;210;1673.660000;1009.680000;
insertion;210;11102.300000;10893.300000;
hybrid;210;1703.560000;920.860000;
quick;220;1772.200000;1084.980000;
insertion;220;12150.140000;11931.140000;
hybrid;220;1803.440000;993.120000;
quick;230;1853.800000;1110.800000;
insertion;230;13344.660000;13115.660000;
hybrid;230;1887.520000;1015.640000;
quick;240;1963.620000;1161.180000;
insertion;240;14553.960000;14314.960000;
hybrid;240;1997.500000;1062.480000;
quick;250;2063.940000;1217.600000;
insertion;250;15825.920000;15576.920000;
hybrid;250;2104.580000;1122.560000;
quick;260;2178.660000;1284.960000;
insertion;260;16883.820000;16624.820000;
hybrid;260;2219.140000;1181.740000;
quick;270;2261.200000;1339.340000;
insertion;270;18502.620000;18233.620000;
hybrid;270;2304.580000;1233.480000;
quick;280;2370.180000;1416.840000;
insertion;280;19574.060000;19295.060000;
hybrid;280;2414.360000;1308.600000;
quick;290;2468.420000;1446.440000;
insertion;290;21267.620000;20978.620000;
hybrid;290;2514.020000;1331.520000;
quick;300;2597.300000;1507.880000;
insertion;300;22944.800000;22645.800000;
hybrid;300;2643.840000;1389.060000;
quick;310;2727.280000;1599.560000;
insertion;310;24319.680000;24010.680000;
hybrid;310;2775.840000;1477.700000;
quick;320;2807.140000;1694.840000;
insertion;320;25683.260000;25364.260000;
hybrid;320;2852.860000;1560.720000;
quick;330;2912.900000;1722.860000;
insertion;330;27360.280000;27031.280000;
hybrid;330;2967.680000;1596.120000;
quick;340;2955.720000;1729.300000;
insertion;340;29060.040000;28721.040000;
hybrid;340;3010.560000;1597.960000;
quick;350;3154.100000;1891.640000;
insertion;350;30709.960000;30360.960000;
hybrid;350;3210.620000;1754.240000;
quick;360;3201.600000;1911.420000;
insertion;360;32490.940000;32131.940000;
hybrid;360;3255.280000;1764.860000;
quick;370;3310.220000;1941.060000;
insertion;370;34477.520000;34108.520000;
hybrid;370;3370.020000;1796.580000;
quick;380;3452.760000;2023.480000;
insertion;380;36298.500000;35919.500000;
hybrid;380;3511.820000;1873.120000;
quick;390;3543.240000;2080.460000;
insertion;390;38466.360000;38077.360000;
hybrid;390;3604.360000;1923.600000;
quick;400;3678.440000;2136.680000;
insertion;400;40134.600000;39735.600000;
hybrid;400;3736.860000;1973.800000;
quick;410;3779.940000;2208.380000;
insertion;410;42431.040000;42022.040000;
hybrid;410;3835.900000;2034.600000;
quick;420;3925.020000;2313.080000;
insertion;420;44484.420000;44065.420000;
hybrid;420;3990.260000;2146.200000;
quick;430;4024.140000;2347.820000;
insertion;430;46750.580000;46321.580000;
hybrid;430;4092.860000;2177.300000;
quick;440;4120.720000;2462.680000;
insertion;440;48812.480000;48373.480000;
hybrid;440;4186.940000;2284.580000;
quick;450;4203.200000;2473.660000;
insertion;450;50568.240000;50119.240000;
hybrid;450;4272.580000;2292.860000;
quick;460;4339.580000;2534.520000;
insertion;460;53481.160000;53022.160000;
hybrid;460;4408.100000;2346.060000;
quick;470;4482.160000;2582.760000;
insertion;470;55657.840000;55188.840000;
hybrid;470;4555.100000;2397.080000;
quick;480;4636.840000;2733.580000;
insertion;480;58261.480000;57782.480000;
hybrid;480;4703.640000;2532.460000;
quick;490;4730.220000;2736.860000;
insertion;490;60644.800000;60155.800000;
hybrid;490;4807.460000;2546.160000;
quick;500;4840.560000;2861.620000;
insertion;500;63144.280000;62645.280000;
hybrid;500;4921.460000;2668.200000;
quick;510;4922.280000;2915.840000;
insertion;510;65526.020000;65017.020000;
hybrid;510;4995.680000;2704.140000;
quick;520;5081.120000;2876.160000;
insertion;520;67791.540000;67272.540000;
hybrid;520;5166.200000;2675.380000;
quick;530;5167.180000;3022.100000;
insertion;530;70785.300000;70256.300000;
hybrid;530;5256.640000;2825.760000;
quick;540;5233.700000;3021.400000;
insertion;540;73106.980000;72567.980000;
hybrid;540;5315.800000;2806.960000;
quick;550;5445.300000;3117.340000;
insertion;550;76146.520000;75597.520000;
hybrid;550;5529.300000;2898.500000;
quick;560;5557.080000;3236.580000;
insertion;560;79058.960000;78499.960000;
hybrid;560;5640.100000;3012.080000;
quick;570;5598.180000;3170.960000;
insertion;570;81551.960000;80982.960000;
hybrid;570;5684.960000;2943.380000;
quick;580;5817.040000;3387.680000;
insertion;580;85489.000000;84910.000000;
hybrid;580;5904.140000;3150.640000;
quick;590;5938.580000;3494.260000;
insertion;590;87504.100000;86915.100000;
hybrid;590;6031.940000;3263.760000;
quick;600;5969.040000;3527.880000;
insertion;600;90474.180000;89875.180000;
hybrid;600;6066.500000;3295.940000;
quick;610;6185.460000;3586.380000;
insertion;610;93058.580000;92449.580000;
hybrid;610;6279.320000;3344.980000;
quick;620;6167.980000;3555.460000;
insertion;620;96659.280000;96040.280000;
hybrid;620;6266.600000;3313.560000;
quick;630;6380.940000;3726.200000;
insertion;630;99431.240000;98802.240000;
hybrid;630;6473.900000;3469.220000;
quick;640;6440.260000;3755.680000;
insertion;640;103071.920000;102432.920000;
hybrid;640;6537.720000;3497.560000;
quick;650;6663.420000;3794.940000;
