type;data;n;time;comps;swaps
quickSortSelect;random;2500;951.260000;94528.390000;38498.740000
quickSort;random;2500;346.960000;32381.940000;17996.900000
quickSortSelect;worst;2500;518.230000;94865.000000;14474.000000
quickSort;worst;2500;24081.580000;3123750.000000;3126249.000000
quickSortSelect;random;2600;990.500000;99173.480000;40332.950000
quickSort;random;2600;361.230000;33625.580000;18825.740000
quickSortSelect;worst;2600;538.410000;99728.000000;15504.000000
quickSort;worst;2600;26017.060000;3378700.000000;3381299.000000
quickSortSelect;random;2700;1043.750000;103667.810000;42014.770000
quickSort;random;2700;379.930000;35083.880000;19684.230000
quickSortSelect;worst;2700;570.020000;104259.000000;16179.000000
quickSort;worst;2700;28179.680000;3643650.000000;3646349.000000
quickSortSelect;random;2800;1078.010000;108009.620000;43936.680000
quickSort;random;2800;390.450000;36663.880000;20462.320000
quickSortSelect;worst;2800;586.230000;108752.000000;16729.000000
quickSort;worst;2800;30365.100000;3918600.000000;3921399.000000
quickSortSelect;random;2900;1130.960000;112215.110000;45617.970000
quickSort;random;2900;413.020000;38296.820000;21520.260000
quickSortSelect;worst;2900;613.130000;113272.000000;17758.000000
quickSort;worst;2900;32380.720000;4203550.000000;4206449.000000
quickSortSelect;random;3000;1155.510000;116717.390000;47498.850000
quickSort;random;3000;423.510000;39587.560000;22214.730000
quickSortSelect;worst;3000;630.800000;117370.000000;18332.000000
quickSort;worst;3000;34611.690000;4498500.000000;4501499.000000
quickSortSelect;random;3100;1219.260000;121053.190000;49267.740000
quickSort;random;3100;445.390000;40972.830000;22934.370000
quickSortSelect;worst;3100;665.070000;121610.000000;18982.000000
quickSort;worst;3100;37866.570000;4803450.000000;4806549.000000
quickSortSelect;random;3200;1258.770000;126213.490000;50988.670000
quickSort;random;3200;460.220000;42591.200000;23743.680000
quickSortSelect;worst;3200;691.120000;125701.000000;19412.000000
quickSort;worst;3200;39969.480000;5118400.000000;5121599.000000
quickSortSelect;random;3300;1333.670000;131294.700000;52812.230000
quickSort;random;3300;481.400000;43940.610000;24602.080000
quickSortSelect;worst;3300;726.760000;130192.000000;19962.000000
quickSort;worst;3300;43013.170000;5443350.000000;5446649.000000
quickSortSelect;random;3400;1369.170000;134682.720000;54626.050000
quickSort;random;3400;498.880000;45806.220000;25591.300000
quickSortSelect;worst;3400;742.020000;134785.000000;20612.000000
quickSort;worst;3400;45676.830000;5778300.000000;5781699.000000
quickSortSelect;random;3500;1376.390000;138914.290000;56579.130000
quickSort;random;3500;505.260000;47522.370000;26616.190000
quickSortSelect;worst;3500;746.880000;139184.000000;21066.000000
quickSort;worst;3500;47304.100000;6123250.000000;6126749.000000
quickSortSelect;random;3600;1430.380000;143850.650000;58355.220000
quickSort;random;3600;525.500000;48936.990000;27332.510000
quickSortSelect;worst;3600;782.930000;143994.000000;21591.000000
quickSort;worst;3600;50394.880000;6478200.000000;6481799.000000
quickSortSelect;random;3700;1465.500000;147701.790000;60193.200000
quickSort;random;3700;546.840000;50327.760000;27967.540000
quickSortSelect;worst;3700;824.760000;148966.000000;22266.000000
quickSort;worst;3700;52701.360000;6843150.000000;6846849.000000
quickSortSelect;random;3800;1510.710000;153840.700000;62149.810000
quickSort;random;3800;552.250000;51860.940000;28975.450000
quickSortSelect;worst;3800;826.260000;153949.000000;23320.000000
quickSort;worst;3800;55505.420000;7218100.000000;7221899.000000
quickSortSelect;random;3900;1550.100000;158309.800000;64054.740000
quickSort;random;3900;566.450000;53669.320000;29699.250000
quickSortSelect;worst;3900;843.770000;158413.000000;23845.000000
quickSort;worst;3900;58180.050000;7603050.000000;7606949.000000
quickSortSelect;random;4000;1611.880000;162546.630000;65835.280000
quickSort;random;4000;582.610000;54927.030000;30467.290000
quickSortSelect;worst;4000;880.850000;162941.000000;24424.000000
quickSort;worst;4000;61246.090000;7998000.000000;8001999.000000
quickSortSelect;random;4100;1635.470000;166794.330000;67714.790000
quickSort;random;4100;599.300000;56916.220000;31910.160000
quickSortSelect;worst;4100;893.300000;167939.000000;25574.000000
quickSort;worst;4100;64563.050000;8402950.000000;8407049.000000
quickSortSelect;random;4200;1681.900000;171708.750000;69535.110000
quickSort;random;4200;614.750000;58264.190000;32647.070000
quickSortSelect;worst;4200;921.260000;172781.000000;26124.000000
quickSort;worst;4200;67637.220000;8817900.000000;8822099.000000
quickSortSelect;random;4300;1729.410000;176289.610000;71557.770000
quickSort;random;4300;633.900000;59919.550000;33606.930000
quickSortSelect;worst;4300;945.590000;177602.000000;26672.000000
quickSort;worst;4300;71114.950000;9242850.000000;9247149.000000
quickSortSelect;random;4400;1776.100000;180145.830000;73460.330000
quickSort;random;4400;649.400000;61663.130000;34257.450000
quickSortSelect;worst;4400;973.050000;182797.000000;27828.000000
quickSort;worst;4400;74240.110000;9677800.000000;9682199.000000
quickSortSelect;random;4500;1816.640000;185310.360000;75312.640000
quickSort;random;4500;663.400000;62978.100000;35147.180000
quickSortSelect;worst;4500;994.970000;187198.000000;28282.000000
quickSort;worst;4500;77555.590000;10122750.000000;10127249.000000
quickSortSelect;random;4600;1861.780000;190260.960000;77293.560000
quickSort;random;4600;681.070000;64274.850000;35895.590000
quickSortSelect;worst;4600;1016.930000;191697.000000;28932.000000
quickSort;worst;4600;81672.130000;10577700.000000;10582299.000000
quickSortSelect;random;4700;1912.700000;194699.390000;79345.470000
quickSort;random;4700;700.690000;66175.620000;36978.260000
quickSortSelect;worst;4700;1037.090000;196099.000000;29482.000000
quickSort;worst;4700;84960.540000;11042650.000000;11047349.000000
quickSortSelect;random;4800;1972.870000;199577.920000;81190.670000
quickSort;random;4800;720.550000;67870.520000;37951.420000
quickSortSelect;worst;4800;1063.100000;200792.000000;29905.000000
quickSort;worst;4800;88316.440000;11517600.000000;11522399.000000
quickSortSelect;random;4900;2006.080000;204312.570000;83167.980000
quickSort;random;4900;734.730000;69616.210000;39021.820000
quickSortSelect;worst;4900;1096.040000;205647.000000;30555.000000
quickSort;worst;4900;92230.120000;12002550.000000;12007449.000000
quickSortSelect;random;5000;2084.290000;209139.530000;85032.210000
quickSort;random;5000;759.950000;71223.200000;39621.790000
