type;position;n;time;comps
coefficient;nowhere;14000;0.079866;1.887732
coefficient;random;14000;0.091482;1.794798
normal;beginning;15000;1.500000;25.400000
normal;middle;15000;1.200000;25.240000
normal;end;15000;1.200000;25.520000
normal;nowhere;15000;1.140000;26.000000
normal;random;15000;1.240000;24.480000
coefficient;beginning;15000;0.108126;1.830937
coefficient;middle;15000;0.086501;1.819404
coefficient;end;15000;0.086501;1.839588
coefficient;nowhere;15000;0.082176;1.874188
coefficient;random;15000;0.089384;1.764620
normal;beginning;16000;1.460000;24.200000
normal;middle;16000;1.060000;24.960000
normal;end;16000;1.120000;24.920000
normal;nowhere;16000;1.120000;26.000000
normal;random;16000;1.280000;25.560000
coefficient;beginning;16000;0.104541;1.732806
coefficient;middle;16000;0.075900;1.787225
coefficient;end;16000;0.080196;1.784361
coefficient;nowhere;16000;0.080196;1.861693
coefficient;random;16000;0.091653;1.830187
normal;beginning;17000;1.400000;24.960000
normal;middle;17000;1.400000;24.480000
normal;end;17000;1.440000;25.680000
normal;nowhere;17000;1.060000;28.000000
normal;random;17000;1.720000;25.400000
coefficient;beginning;17000;0.099621;1.776102
coefficient;middle;17000;0.099621;1.741946
coefficient;end;17000;0.102467;1.827336
coefficient;nowhere;17000;0.075427;1.992422
coefficient;random;17000;0.122392;1.807411
normal;beginning;18000;1.660000;25.560000
normal;middle;18000;1.340000;26.120000
normal;end;18000;1.060000;25.600000
normal;nowhere;18000;1.040000;28.000000
normal;random;18000;1.360000;25.640000
coefficient;beginning;18000;0.117433;1.808187
coefficient;middle;18000;0.094795;1.847803
coefficient;end;18000;0.074987;1.811016
coefficient;nowhere;18000;0.073573;1.980799
coefficient;random;18000;0.096210;1.813846
normal;beginning;19000;1.360000;25.920000
normal;middle;19000;1.140000;25.120000
normal;end;19000;1.140000;25.560000
normal;nowhere;19000;1.060000;28.000000
normal;random;19000;1.160000;26.040000
coefficient;beginning;19000;0.095682;1.823591
coefficient;middle;19000;0.080204;1.767308
coefficient;end;19000;0.080204;1.798264
coefficient;nowhere;19000;0.074576;1.969929
coefficient;random;19000;0.081611;1.832034
normal;beginning;20000;1.300000;25.600000
normal;middle;20000;1.480000;26.560000
normal;end;20000;1.120000;25.760000
normal;nowhere;20000;1.380000;28.000000
normal;random;20000;1.340000;25.360000
coefficient;beginning;20000;0.090987;1.791749
coefficient;middle;20000;0.103586;1.858940
coefficient;end;20000;0.078389;1.802948
coefficient;nowhere;20000;0.096586;1.959726
coefficient;random;20000;0.093787;1.774952
normal;beginning;21000;0.960000;26.440000
normal;middle;21000;0.960000;26.440000
normal;end;21000;0.960000;26.320000
normal;nowhere;21000;1.020000;28.000000
normal;random;21000;1.020000;26.320000
coefficient;beginning;21000;0.066861;1.841469
coefficient;middle;21000;0.066861;1.841469
coefficient;end;21000;0.066861;1.833111
coefficient;nowhere;21000;0.071040;1.950119
coefficient;random;21000;0.071040;1.833111
normal;beginning;22000;0.880000;26.200000
normal;middle;22000;1.440000;25.440000
normal;end;22000;0.900000;26.280000
