type;n;m;comps;swaps
randomSelect;100;14;171;74
select;100;14;776;350
randomSelect;100;14;395;228
select;100;14;936;382
randomSelect;100;14;369;243
select;100;14;955;420
randomSelect;100;14;245;165
select;100;14;772;321
randomSelect;100;14;129;32
select;100;14;746;341
randomSelect;100;14;172;97
select;100;14;652;283
randomSelect;100;14;474;128
select;100;14;806;357
randomSelect;100;14;157;73
select;100;14;744;327
randomSelect;100;14;171;67
select;100;14;691;298
randomSelect;100;14;134;53
select;100;14;649;272
randomSelect;100;14;292;218
select;100;14;817;395
randomSelect;100;14;269;86
select;100;14;824;359
randomSelect;100;14;244;117
select;100;14;787;340
randomSelect;100;14;213;117
select;100;14;854;332
randomSelect;100;14;99;15
select;100;14;877;383
randomSelect;100;14;186;92
select;100;14;813;379
randomSelect;100;14;186;76
select;100;14;722;306
randomSelect;100;14;204;129
select;100;14;721;315
randomSelect;100;14;192;98
select;100;14;898;395
randomSelect;100;14;171;97
select;100;14;790;349
randomSelect;100;14;243;135
select;100;14;859;343
randomSelect;100;14;178;77
select;100;14;868;345
randomSelect;100;14;315;143
select;100;14;867;340
randomSelect;100;14;288;211
select;100;14;832;375
randomSelect;100;14;223;128
select;100;14;834;366
randomSelect;100;14;366;218
select;100;14;848;356
randomSelect;100;14;120;34
select;100;14;688;283
randomSelect;100;14;362;253
select;100;14;889;359
randomSelect;100;14;492;352
select;100;14;785;326
randomSelect;100;14;193;80
select;100;14;910;353
randomSelect;100;14;368;230
select;100;14;744;329
randomSelect;100;14;293;220
select;100;14;764;326
randomSelect;100;14;180;66
select;100;14;785;333
randomSelect;100;14;211;88
select;100;14;1021;367
randomSelect;100;14;192;97
select;100;14;928;387
randomSelect;100;14;262;115
select;100;14;874;357
randomSelect;100;14;197;118
select;100;14;758;388
randomSelect;100;14;387;125
select;100;14;853;334
randomSelect;100;14;230;116
select;100;14;748;354
randomSelect;100;14;271;168
select;100;14;894;320
randomSelect;100;14;202;112
select;100;14;1083;399
randomSelect;100;14;159;81
select;100;14;842;376
randomSelect;100;14;354;220
select;100;14;707;330
randomSelect;100;14;332;254
select;100;14;871;379
randomSelect;100;14;353;129
select;100;14;741;347
randomSelect;100;14;331;247
select;100;14;717;318
randomSelect;100;14;264;74
select;100;14;884;355
randomSelect;100;14;315;167
select;100;14;788;340
randomSelect;100;14;132;44
select;100;14;924;370
randomSelect;100;14;198;110
select;100;14;812;337
randomSelect;100;14;259;176
select;100;14;731;305
randomSelect;100;14;367;214
select;100;14;782;315
randomSelect;100;14;288;200
select;100;14;847;358
randomSelect;100;14;285;175
select;100;14;714;330
randomSelect;100;14;133;55
select;100;14;782;356
randomSelect;100;14;462;391
select;100;14;789;374
randomSelect;100;14;124;34
select;100;14;787;350
randomSelect;100;14;282;152
select;100;14;870;314
randomSelect;100;14;234;134
select;100;14;771;358
randomSelect;100;14;449;204
select;100;14;900;402
randomSelect;100;14;281;200
select;100;14;786;341
randomSelect;100;14;193;105
select;100;14;791;309
randomSelect;100;14;174;99
select;100;14;841;353
randomSelect;100;14;209;134
select;100;14;1044;414
randomSelect;100;14;170;87
select;100;14;760;321
randomSelect;100;14;190;112
select;100;14;797;350
randomSelect;100;14;134;43
select;100;14;781;340
randomSelect;100;14;220;116
select;100;14;996;397
randomSelect;100;14;179;93
select;100;14;907;400
randomSelect;100;14;345;161
select;100;14;883;386
randomSelect;100;14;381;258
select;100;14;854;372
randomSelect;100;14;158;74
select;100;14;889;390
randomSelect;100;14;222;145
select;100;14;840;373
randomSelect;100;14;447;310
select;100;14;919;367
randomSelect;100;14;177;87
select;100;14;899;353
randomSelect;100;14;244;164
select;100;14;849;334
randomSelect;100;14;200;105
select;100;14;869;378
randomSelect;100;14;237;77
select;100;14;829;347
randomSelect;100;14;214;104
select;100;14;759;327
randomSelect;100;14;279;149
select;100;14;1042;412
randomSelect;100;14;300;111
select;100;14;716;331
randomSelect;100;14;370;251
select;100;14;832;373
randomSelect;100;14;360;260
select;100;14;850;379
randomSelect;100;14;423;238
select;100;14;833;324
randomSelect;100;14;294;115
select;100;14;781;342
randomSelect;100;14;124;32
select;100;14;811;325
randomSelect;100;14;163;61
select;100;14;810;345
randomSelect;100;14;227;125
select;100;14;767;299
randomSelect;100;14;217;133
select;100;14;810;352
randomSelect;100;14;322;175
select;100;14;816;342
randomSelect;100;14;162;55
select;100;14;948;358
randomSelect;100;14;198;115
select;100;14;1071;452
randomSelect;100;14;99;15
select;100;14;752;344
randomSelect;100;14;253;166
select;100;14;870;360
randomSelect;100;14;258;158
select;100;14;836;349
randomSelect;100;14;146;53
select;100;14;890;421
randomSelect;100;14;315;196
select;100;14;767;338
randomSelect;100;14;250;166
select;100;14;629;275
randomSelect;100;14;260;87
select;100;14;1005;376
randomSelect;100;14;227;134
select;100;14;1056;462
randomSelect;200;157;662;253
select;200;157;1441;617
randomSelect;200;157;648;311
select;200;157;1450;629
randomSelect;200;157;715;344
select;200;157;1518;645
randomSelect;200;157;899;417
select;200;157;1368;635
randomSelect;200;157;510;231
select;200;157;1510;663
randomSelect;200;157;1071;692
select;200;157;1385;622
randomSelect;200;157;664;331
select;200;157;1613;680
randomSelect;200;157;448;325
select;200;157;1437;619
randomSelect;200;157;493;303
select;200;157;1056;511
randomSelect;200;157;573;188
select;200;157;1441;593
randomSelect;200;157;309;192
select;200;157;1573;612
randomSelect;200;157;475;393
select;200;157;1429;611
randomSelect;200;157;549;265
select;200;157;1533;606
randomSelect;200;157;903;492
select;200;157;1558;624
randomSelect;200;157;478;305
select;200;157;1106;463
randomSelect;200;157;450;263
select;200;157;1529;631
randomSelect;200;157;805;240
select;200;157;1394;643
randomSelect;200;157;451;256
select;200;157;1467;678
randomSelect;200;157;721;385
select;200;157;1504;693
randomSelect;200;157;1103;402
select;200;157;1454;657
randomSelect;200;157;1087;515
select;200;157;1541;684
randomSelect;200;157;391;216
select;200;157;1634;633
randomSelect;200;157;641;433
select;200;157;1548;669
randomSelect;200;157;487;222
select;200;157;1460;639
randomSelect;200;157;447;339
select;200;157;1439;648
randomSelect;200;157;603;320
select;200;157;1388;663
randomSelect;200;157;1049;546
select;200;157;1470;626
randomSelect;200;157;437;316
select;200;157;1446;665
randomSelect;200;157;694;270
select;200;157;1497;643
randomSelect;200;157;573;200
select;200;157;1449;607
randomSelect;200;157;870;440
select;200;157;1421;609
randomSelect;200;157;382;242
select;200;157;1379;594
randomSelect;200;157;419;278
select;200;157;1384;625
randomSelect;200;157;441;181
select;200;157;1586;606
randomSelect;200;157;495;267
select;200;157;1576;639
randomSelect;200;157;404;244
select;200;157;1737;716
randomSelect;200;157;826;441
select;200;157;1677;695
randomSelect;200;157;834;445
select;200;157;1544;653
randomSelect;200;157;847;439
select;200;157;1584;649
randomSelect;200;157;536;240
select;200;157;1499;646
randomSelect;200;157;551;320
select;200;157;1380;610
randomSelect;200;157;416;255
select;200;157;1606;646
randomSelect;200;157;841;405
select;200;157;1673;694
randomSelect;200;157;640;271
select;200;157;1559;634
randomSelect;200;157;796;418
select;200;157;1541;690
randomSelect;200;157;882;349
select;200;157;1480;700
randomSelect;200;157;537;315
select;200;157;1576;639
randomSelect;200;157;478;221
select;200;157;1272;616
randomSelect;200;157;749;161
select;200;157;1508;650
randomSelect;200;157;687;371
select;200;157;1593;714
randomSelect;200;157;411;319
select;200;157;1519;685
randomSelect;200;157;629;182
select;200;157;1559;702
randomSelect;200;157;649;294
select;200;157;1326;605
randomSelect;200;157;576;315
select;200;157;1416;672
randomSelect;200;157;384;181
select;200;157;1543;672
randomSelect;200;157;736;294
select;200;157;1429;639
randomSelect;200;157;776;463
select;200;157;1377;614
randomSelect;200;157;571;226
select;200;157;1378;627
randomSelect;200;157;891;490
select;200;157;1507;626
randomSelect;200;157;876;374
select;200;157;1494;622
randomSelect;200;157;578;278
select;200;157;1514;623
randomSelect;200;157;478;161
select;200;157;1157;485
randomSelect;200;157;671;269
select;200;157;1378;643
randomSelect;200;157;199;158
select;200;157;1361;655
randomSelect;200;157;316;245
select;200;157;1752;748
randomSelect;200;157;475;265
select;200;157;1447;610
randomSelect;200;157;524;392
select;200;157;1455;623
randomSelect;200;157;668;366
select;200;157;1364;636
randomSelect;200;157;384;211
select;200;157;1728;688
randomSelect;200;157;688;257
select;200;157;1432;630
randomSelect;200;157;562;329
select;200;157;1370;695
randomSelect;200;157;479;260
select;200;157;1521;644
randomSelect;200;157;367;235
select;200;157;1344;644
randomSelect;200;157;647;377
select;200;157;1314;658
randomSelect;200;157;681;274
select;200;157;1327;590
randomSelect;200;157;460;190
select;200;157;1557;620
randomSelect;200;157;746;375
select;200;157;1445;658
randomSelect;200;157;418;226
select;200;157;1441;669
randomSelect;200;157;545;270
select;200;157;1186;582
randomSelect;200;157;556;344
select;200;157;1579;684
randomSelect;200;157;398;195
select;200;157;1523;676
randomSelect;200;157;488;346
select;200;157;1533;668
randomSelect;200;157;548;269
select;200;157;1792;770
randomSelect;200;157;784;366
select;200;157;1675;692
randomSelect;200;157;331;202
select;200;157;1483;608
randomSelect;200;157;436;234
select;200;157;1455;627
randomSelect;200;157;447;244
select;200;157;1122;464
randomSelect;200;157;755;555
select;200;157;1478;677
randomSelect;200;157;576;235
select;200;157;1340;600
randomSelect;200;157;312;200
select;200;157;1546;677
randomSelect;200;157;902;307
select;200;157;1591;675
randomSelect;200;157;332;216
select;200;157;1361;624
randomSelect;200;157;515;326
select;200;157;1614;750
randomSelect;200;157;554;387
select;200;157;1573;635
randomSelect;200;157;749;472
select;200;157;1627;664
randomSelect;200;157;436;201
select;200;157;1479;648
randomSelect;200;157;499;248
select;200;157;1428;662
randomSelect;200;157;455;351
select;200;157;1434;612
randomSelect;200;157;326;240
select;200;157;1539;694
randomSelect;200;157;617;249
select;200;157;1484;661
randomSelect;300;224;915;517
select;300;224;2184;865
randomSelect;300;224;605;351
select;300;224;2492;1128
randomSelect;300;224;1040;863
select;300;224;2443;1067
randomSelect;300;224;730;346
select;300;224;2334;1002
randomSelect;300;224;1055;741
select;300;224;2283;1027
randomSelect;300;224;959;601
select;300;224;2547;1072
randomSelect;300;224;653;453
select;300;224;2809;1201
randomSelect;300;224;855;316
select;300;224;2431;1030
randomSelect;300;224;661;402
select;300;224;2072;916
randomSelect;300;224;910;712
select;300;224;2226;1075
randomSelect;300;224;827;506
select;300;224;2303;978
randomSelect;300;224;1031;367
select;300;224;2447;1041
randomSelect;300;224;695;347
select;300;224;2428;1173
randomSelect;300;224;708;253
select;300;224;2121;928
randomSelect;300;224;1076;619
select;300;224;2471;1056
randomSelect;300;224;438;288
select;300;224;2118;1010
randomSelect;300;224;654;534
select;300;224;2312;1001
randomSelect;300;224;869;559
select;300;224;2348;1023
randomSelect;300;224;814;512
select;300;224;2157;984
randomSelect;300;224;746;531
select;300;224;2205;963
randomSelect;300;224;863;314
select;300;224;2805;1125
randomSelect;300;224;1102;563
select;300;224;2374;1062
randomSelect;300;224;1105;638
select;300;224;2135;982
randomSelect;300;224;986;436
select;300;224;2467;1081
randomSelect;300;224;577;423
select;300;224;2392;1074
randomSelect;300;224;1811;1045
select;300;224;2396;990
randomSelect;300;224;930;514
select;300;224;2518;1167
randomSelect;300;224;1138;722
select;300;224;2284;1078
randomSelect;300;224;1185;436
select;300;224;2258;1090
randomSelect;300;224;735;454
select;300;224;2097;834
randomSelect;300;224;1295;491
select;300;224;2732;1132
randomSelect;300;224;1241;678
select;300;224;2011;999
randomSelect;300;224;697;359
select;300;224;2339;966
randomSelect;300;224;791;597
select;300;224;2088;958
randomSelect;300;224;583;302
select;300;224;2394;1049
randomSelect;300;224;1339;567
select;300;224;1976;924
randomSelect;300;224;1210;775
select;300;224;2407;1088
randomSelect;300;224;823;374
select;300;224;2260;973
randomSelect;300;224;586;246
select;300;224;2413;1031
randomSelect;300;224;538;324
select;300;224;2554;1188
randomSelect;300;224;660;517
select;300;224;2420;977
randomSelect;300;224;666;287
select;300;224;2441;1105
randomSelect;300;224;519;389
select;300;224;2500;1001
randomSelect;300;224;791;507
select;300;224;2272;1009
randomSelect;300;224;915;660
select;300;224;2264;977
randomSelect;300;224;589;485
select;300;224;2393;991
randomSelect;300;224;1130;382
select;300;224;2423;1045
randomSelect;300;224;558;323
select;300;224;2356;1035
randomSelect;300;224;1005;843
select;300;224;2298;1016
randomSelect;300;224;1215;750
select;300;224;2516;1077
randomSelect;300;224;589;455
select;300;224;2726;1141
randomSelect;300;224;1039;544
select;300;224;2715;1095
randomSelect;300;224;496;336
select;300;224;2260;950
randomSelect;300;224;849;543
select;300;224;2770;1169
randomSelect;300;224;882;401
select;300;224;2596;1129
randomSelect;300;224;1586;574
select;300;224;2655;1152
randomSelect;300;224;565;324
select;300;224;2423;968
randomSelect;300;224;945;394
select;300;224;2359;932
randomSelect;300;224;1160;467
select;300;224;2115;989
randomSelect;300;224;787;505
select;300;224;2234;956
randomSelect;300;224;1338;954
select;300;224;2181;1044
randomSelect;300;224;736;274
select;300;224;2606;1020
randomSelect;300;224;526;395
select;300;224;1730;806
randomSelect;300;224;1374;448
select;300;224;2522;1004
randomSelect;300;224;736;317
select;300;224;2392;1010
randomSelect;300;224;536;305
select;300;224;2418;1036
randomSelect;300;224;1174;729
select;300;224;2493;925
randomSelect;300;224;1051;388
select;300;224;2345;1000
randomSelect;300;224;868;337
select;300;224;2210;984
randomSelect;300;224;779;435
select;300;224;2356;1045
randomSelect;300;224;1119;701
select;300;224;2481;1166
randomSelect;300;224;970;593
select;300;224;2078;954
randomSelect;300;224;645;504
select;300;224;2374;1079
randomSelect;300;224;557;402
select;300;224;2389;1043
randomSelect;300;224;662;295
select;300;224;2094;910
randomSelect;300;224;1014;537
select;300;224;2566;1082
randomSelect;300;224;838;378
select;300;224;2205;925
randomSelect;300;224;767;422
select;300;224;2455;1070
randomSelect;300;224;1162;684
select;300;224;2539;1151
randomSelect;300;224;1077;526
select;300;224;2582;1164
randomSelect;300;224;764;540
select;300;224;2266;996
randomSelect;300;224;617;306
select;300;224;3361;1351
randomSelect;300;224;845;582
select;300;224;2416;1113
randomSelect;300;224;744;441
select;300;224;2057;899
randomSelect;300;224;857;419
select;300;224;2622;1098
randomSelect;300;224;1062;495
select;300;224;2486;1080
randomSelect;300;224;970;714
select;300;224;2571;1149
randomSelect;300;224;1241;825
select;300;224;2445;1026
randomSelect;300;224;1116;306
select;300;224;2349;1090
randomSelect;300;224;898;489
select;300;224;2286;957
randomSelect;300;224;1118;659
select;300;224;2558;1098
randomSelect;300;224;764;621
select;300;224;2410;1041
randomSelect;300;224;690;430
select;300;224;2230;902
randomSelect;300;224;622;291
select;300;224;2033;948
randomSelect;300;224;941;425
select;300;224;2474;1077
randomSelect;300;224;1085;484
select;300;224;2524;1066
randomSelect;300;224;1016;479
select;300;224;2178;1008
randomSelect;300;224;495;302
select;300;224;2545;1063
randomSelect;300;224;757;389
select;300;224;2023;943
randomSelect;300;224;979;476
select;300;224;2437;1026
randomSelect;400;1;504;123
select;400;1;2973;1350
randomSelect;400;1;467;74
select;400;1;3739;1620
randomSelect;400;1;768;390
select;400;1;3302;1421
randomSelect;400;1;873;492
select;400;1;3510;1452
randomSelect;400;1;632;257
select;400;1;3590;1489
randomSelect;400;1;671;299
select;400;1;3423;1461
randomSelect;400;1;421;31
select;400;1;4047;1595
randomSelect;400;1;787;409
select;400;1;3394;1465
randomSelect;400;1;1354;981
select;400;1;3061;1335
randomSelect;400;1;1089;704
select;400;1;3296;1311
randomSelect;400;1;1189;817
select;400;1;3219;1317
randomSelect;400;1;937;562
select;400;1;3078;1358
randomSelect;400;1;654;270
select;400;1;3414;1428
randomSelect;400;1;951;576
select;400;1;3039;1292
randomSelect;400;1;1558;1198
select;400;1;3632;1471
randomSelect;400;1;479;89
select;400;1;3118;1334
randomSelect;400;1;996;612
select;400;1;3271;1513
randomSelect;400;1;540;158
select;400;1;3710;1537
randomSelect;400;1;754;366
select;400;1;3197;1345
randomSelect;400;1;743;355
select;400;1;3536;1568
randomSelect;400;1;679;295
select;400;1;4091;1588
randomSelect;400;1;885;507
select;400;1;3542;1491
randomSelect;400;1;489;102
select;400;1;3527;1499
randomSelect;400;1;1071;686
select;400;1;4035;1607
randomSelect;400;1;448;60
select;400;1;4229;1640
randomSelect;400;1;454;70
select;400;1;3540;1647
randomSelect;400;1;788;407
select;400;1;3472;1421
randomSelect;400;1;893;508
select;400;1;3566;1563
randomSelect;400;1;550;172
select;400;1;2971;1292
randomSelect;400;1;569;176
select;400;1;3301;1404
randomSelect;400;1;1664;1298
select;400;1;3373;1396
randomSelect;400;1;767;383
select;400;1;3575;1495
randomSelect;400;1;1480;1098
select;400;1;3203;1403
randomSelect;400;1;543;161
select;400;1;3731;1430
randomSelect;400;1;694;303
select;400;1;3461;1462
randomSelect;400;1;1262;886
select;400;1;3497;1413
randomSelect;400;1;760;376
select;400;1;3451;1303
randomSelect;400;1;801;429
select;400;1;3844;1660
randomSelect;400;1;1070;688
select;400;1;3647;1537
randomSelect;400;1;768;396
select;400;1;3495;1410
randomSelect;400;1;577;199
select;400;1;3428;1466
randomSelect;400;1;515;139
select;400;1;3191;1397
randomSelect;400;1;900;515
select;400;1;3613;1439
randomSelect;400;1;627;239
select;400;1;3990;1662
randomSelect;400;1;632;257
select;400;1;3554;1466
randomSelect;400;1;645;257
select;400;1;3762;1619
randomSelect;400;1;875;490
select;400;1;3738;1559
randomSelect;400;1;1130;764
select;400;1;3263;1339
randomSelect;400;1;897;522
select;400;1;3370;1360
randomSelect;400;1;830;464
select;400;1;3362;1506
randomSelect;400;1;808;417
select;400;1;3556;1554
randomSelect;400;1;1044;663
select;400;1;3630;1589
randomSelect;400;1;842;473
select;400;1;3765;1747
randomSelect;400;1;937;564
select;400;1;3025;1379
randomSelect;400;1;695;316
select;400;1;3461;1587
randomSelect;400;1;1266;896
select;400;1;3512;1426
randomSelect;400;1;418;31
select;400;1;3459;1391
randomSelect;400;1;748;372
select;400;1;3250;1478
randomSelect;400;1;964;580
select;400;1;4444;1810
randomSelect;400;1;900;533
select;400;1;3882;1661
randomSelect;400;1;990;611
select;400;1;3260;1401
randomSelect;400;1;1549;1174
select;400;1;3358;1310
randomSelect;400;1;785;401
select;400;1;3067;1394
randomSelect;400;1;621;240
select;400;1;4423;1724
randomSelect;400;1;413;23
select;400;1;3657;1476
randomSelect;400;1;688;303
select;400;1;3577;1413
randomSelect;400;1;721;333
select;400;1;3500;1529
randomSelect;400;1;448;67
select;400;1;3995;1684
randomSelect;400;1;604;216
select;400;1;3548;1578
randomSelect;400;1;636;257
select;400;1;3266;1497
randomSelect;400;1;411;21
select;400;1;3139;1360
randomSelect;400;1;640;255
select;400;1;3226;1492
randomSelect;400;1;759;374
select;400;1;3258;1409
randomSelect;400;1;541;172
select;400;1;2971;1333
randomSelect;400;1;907;520
select;400;1;3829;1682
randomSelect;400;1;1345;969
select;400;1;3377;1323
randomSelect;400;1;521;140
select;400;1;3228;1418
randomSelect;400;1;507;123
select;400;1;3251;1484
randomSelect;400;1;1190;811
select;400;1;3217;1330
randomSelect;400;1;565;181
select;400;1;3309;1362
randomSelect;400;1;610;232
select;400;1;3465;1405
randomSelect;400;1;967;585
select;400;1;3339;1406
randomSelect;400;1;800;425
select;400;1;3317;1412
randomSelect;400;1;1497;1125
select;400;1;3452;1583
randomSelect;400;1;515;140
select;400;1;3762;1580
randomSelect;400;1;1242;863
select;400;1;3357;1404
randomSelect;400;1;837;456
select;400;1;3262;1404
randomSelect;400;1;893;512
select;400;1;3005;1321
randomSelect;400;1;602;218
select;400;1;3800;1581
randomSelect;400;1;547;172
select;400;1;3303;1393
randomSelect;400;1;860;475
select;400;1;3223;1333
randomSelect;400;1;871;483
select;400;1;3605;1581
randomSelect;400;1;896;520
select;400;1;3191;1486
randomSelect;400;1;861;477
select;400;1;3370;1466
randomSelect;400;1;588;197
select;400;1;3458;1472
randomSelect;400;1;813;429
select;400;1;3800;1609
randomSelect;400;1;412;21
select;400;1;3560;1481
randomSelect;400;1;865;493
select;400;1;3310;1561
randomSelect;400;1;1278;894
select;400;1;3475;1444
randomSelect;400;1;697;316
select;400;1;3546;1539
randomSelect;500;95;1762;499
select;500;95;4549;1892
randomSelect;500;95;1866;1418
select;500;95;4684;2097
randomSelect;500;95;1562;626
select;500;95;4801;2044
randomSelect;500;95;2228;1490
select;500;95;3923;1805
randomSelect;500;95;1254;618
select;500;95;4131;1696
randomSelect;500;95;925;372
select;500;95;5010;2276
randomSelect;500;95;1113;562
select;500;95;3627;1623
randomSelect;500;95;1365;691
select;500;95;4044;1807
randomSelect;500;95;1393;813
select;500;95;3505;1557
randomSelect;500;95;815;329
select;500;95;3895;1759
randomSelect;500;95;1789;965
select;500;95;4336;1871
randomSelect;500;95;1164;219
select;500;95;3725;1657
randomSelect;500;95;980;518
select;500;95;3950;1641
randomSelect;500;95;1387;741
select;500;95;4142;1770
randomSelect;500;95;1422;591
select;500;95;4238;1822
randomSelect;500;95;1841;1144
select;500;95;4438;1824
randomSelect;500;95;660;244
select;500;95;4283;1871
randomSelect;500;95;1569;778
select;500;95;3754;1695
randomSelect;500;95;1140;609
select;500;95;4131;1885
randomSelect;500;95;886;301
select;500;95;3886;1633
randomSelect;500;95;1418;808
select;500;95;4720;1883
randomSelect;500;95;1449;772
select;500;95;3670;1591
randomSelect;500;95;1113;478
select;500;95;4634;1917
randomSelect;500;95;1258;579
select;500;95;4063;1651
randomSelect;500;95;1407;860
select;500;95;4551;1818
randomSelect;500;95;1654;819
select;500;95;4038;1646
randomSelect;500;95;2184;870
select;500;95;3641;1631
randomSelect;500;95;1587;817
select;500;95;4172;1754
randomSelect;500;95;1558;627
select;500;95;4319;1917
randomSelect;500;95;2010;1459
select;500;95;4204;1688
randomSelect;500;95;1011;559
select;500;95;4318;1776
randomSelect;500;95;927;452
select;500;95;3943;1594
randomSelect;500;95;1286;680
select;500;95;4098;1917
randomSelect;500;95;1872;1105
select;500;95;4230;1778
randomSelect;500;95;875;366
select;500;95;3949;1765
randomSelect;500;95;1198;731
select;500;95;3872;1817
randomSelect;500;95;1450;905
select;500;95;4067;1822
randomSelect;500;95;1598;718
select;500;95;4376;1797
randomSelect;500;95;1188;636
select;500;95;4185;1749
randomSelect;500;95;1398;730
select;500;95;3825;1592
randomSelect;500;95;1389;734
select;500;95;3836;1795
randomSelect;500;95;679;200
select;500;95;4268;1804
randomSelect;500;95;1581;730
select;500;95;4592;2044
randomSelect;500;95;1318;438
select;500;95;3764;1666
randomSelect;500;95;2247;1282
select;500;95;4040;1751
randomSelect;500;95;1108;213
select;500;95;3496;1727
randomSelect;500;95;1320;563
select;500;95;4394;2025
randomSelect;500;95;1036;522
select;500;95;3714;1500
randomSelect;500;95;1126;528
select;500;95;4071;1785
randomSelect;500;95;956;326
select;500;95;3785;1654
randomSelect;500;95;1957;1250
select;500;95;4051;1663
randomSelect;500;95;1164;572
select;500;95;3982;1636
randomSelect;500;95;1589;1036
select;500;95;4126;1691
randomSelect;500;95;2578;1470
select;500;95;3905;1648
randomSelect;500;95;1890;980
select;500;95;3667;1643
randomSelect;500;95;1283;487
select;500;95;4311;1865
randomSelect;500;95;2189;1677
select;500;95;3613;1683
randomSelect;500;95;2394;1336
select;500;95;3706;1656
randomSelect;500;95;1363;823
select;500;95;4045;1672
randomSelect;500;95;1755;1156
select;500;95;4214;1841
randomSelect;500;95;1534;1042
select;500;95;4331;1871
randomSelect;500;95;1460;834
select;500;95;3633;1558
randomSelect;500;95;966;163
select;500;95;4118;1891
randomSelect;500;95;1234;842
select;500;95;3904;1673
randomSelect;500;95;1503;918
select;500;95;4886;1891
randomSelect;500;95;1230;643
select;500;95;4255;1810
randomSelect;500;95;1172;559
select;500;95;3675;1743
randomSelect;500;95;1611;647
select;500;95;4196;1879
randomSelect;500;95;1662;982
select;500;95;4919;2097
randomSelect;500;95;1127;487
select;500;95;4676;1974
randomSelect;500;95;1458;851
select;500;95;4132;1818
randomSelect;500;95;905;418
select;500;95;4716;1968
randomSelect;500;95;1611;1143
select;500;95;3984;1733
randomSelect;500;95;1770;830
select;500;95;4689;2093
randomSelect;500;95;2694;1481
select;500;95;5462;2299
randomSelect;500;95;863;407
select;500;95;3965;1791
randomSelect;500;95;2059;1322
select;500;95;4427;1823
randomSelect;500;95;3153;1787
select;500;95;4139;1682
randomSelect;500;95;1076;573
select;500;95;3881;1714
randomSelect;500;95;1683;890
select;500;95;5192;2248
randomSelect;500;95;1885;1277
select;500;95;4007;1732
randomSelect;500;95;2233;1651
select;500;95;3926;1700
randomSelect;500;95;1794;1197
select;500;95;3965;1590
randomSelect;500;95;1731;1160
select;500;95;3984;1677
randomSelect;500;95;783;283
select;500;95;4570;1845
randomSelect;500;95;1617;1135
select;500;95;3908;1776
randomSelect;500;95;1559;975
select;500;95;3875;1756
randomSelect;500;95;1021;369
select;500;95;3506;1565
randomSelect;500;95;2694;1642
select;500;95;4642;1909
randomSelect;500;95;1607;985
select;500;95;3722;1639
randomSelect;500;95;1237;373
select;500;95;3989;1768
randomSelect;500;95;1358;451
select;500;95;4824;2118
randomSelect;500;95;1299;614
select;500;95;4439;1882
randomSelect;500;95;2224;1007
select;500;95;3650;1603
randomSelect;500;95;1016;410
select;500;95;3633;1737
randomSelect;500;95;1470;770
select;500;95;3955;1786
randomSelect;500;95;1384;459
select;500;95;3799;1628
randomSelect;500;95;1932;771
select;500;95;4731;1858
randomSelect;500;95;1384;501
select;500;95;4025;1836
randomSelect;500;95;1378;592
select;500;95;4082;1799
randomSelect;600;389;1325;841
select;600;389;4805;2188
randomSelect;600;389;1704;558
select;600;389;5165;2077
randomSelect;600;389;1528;813
select;600;389;4885;2097
randomSelect;600;389;1165;687
select;600;389;4668;2084
randomSelect;600;389;1986;1472
select;600;389;4697;2120
randomSelect;600;389;2765;702
select;600;389;4874;2016
randomSelect;600;389;1766;682
select;600;389;4899;1902
randomSelect;600;389;2154;1344
select;600;389;4994;2021
randomSelect;600;389;987;466
select;600;389;5109;2130
randomSelect;600;389;1611;496
select;600;389;5007;2025
randomSelect;600;389;2127;687
select;600;389;4616;2006
randomSelect;600;389;2552;1937
select;600;389;4430;1924
randomSelect;600;389;2240;815
select;600;389;5174;2201
randomSelect;600;389;2011;941
select;600;389;4558;2103
randomSelect;600;389;2665;1738
select;600;389;5140;2225
randomSelect;600;389;1918;649
select;600;389;4441;2071
randomSelect;600;389;1420;429
select;600;389;5160;2117
randomSelect;600;389;1379;575
select;600;389;4332;1872
randomSelect;600;389;1627;837
select;600;389;4781;2152
randomSelect;600;389;1032;473
select;600;389;4571;1959
randomSelect;600;389;2503;2100
select;600;389;4639;1964
randomSelect;600;389;1534;959
select;600;389;4825;2026
randomSelect;600;389;1170;739
select;600;389;4575;1978
randomSelect;600;389;2837;1319
select;600;389;4805;2222
randomSelect;600;389;2886;1057
select;600;389;4588;2042
randomSelect;600;389;1149;525
select;600;389;5239;2356
randomSelect;600;389;1467;1102
select;600;389;5320;2048
randomSelect;600;389;1825;711
select;600;389;5082;2102
randomSelect;600;389;1936;1157
select;600;389;5093;2055
randomSelect;600;389;1237;983
select;600;389;4397;1992
randomSelect;600;389;1054;623
select;600;389;4711;2263
randomSelect;600;389;1913;734
select;600;389;4547;1970
randomSelect;600;389;1637;977
select;600;389;4685;2168
randomSelect;600;389;1507;530
select;600;389;4654;2034
randomSelect;600;389;3037;1402
select;600;389;5060;2010
randomSelect;600;389;3266;1878
select;600;389;4815;2025
randomSelect;600;389;1583;786
select;600;389;5514;2323
randomSelect;600;389;2461;1360
select;600;389;4820;2327
randomSelect;600;389;1312;639
select;600;389;4275;2031
randomSelect;600;389;3029;1784
select;600;389;4588;1962
randomSelect;600;389;1909;1076
select;600;389;5146;2224
randomSelect;600;389;1809;970
