type;n;comps;swaps;time
dualsort;5400;70126.8;38714.22;0.47993296
dualselect;5500;603464.74;247425.52;2.8436154
dualsort;5500;72231.28;39880.24;0.4843196199999998
dualselect;5600;612095.3;250769.74;2.8903282200000007
dualsort;5600;73102.38;40762.74;0.49524633999999984
dualselect;5700;623356.5;255532.84;2.974068219999999
dualsort;5700;76103.1;41404.44;0.5061175
dualselect;5800;633858.3;259657.22;2.9810030000000007
dualsort;5800;76232.84;41871.56;0.5132628599999997
dualselect;5900;646299.76;264617.38;3.0683755800000005
dualsort;5900;79169.34;42832.22;0.5297685399999998
dualselect;6000;656927.64;268915.36;3.0776322999999994
dualsort;6000;79911.3;44355.88;0.5362091
dualselect;6100;667117.76;273602.72;3.1209987199999993
dualsort;6100;81330.62;44580.1;0.5467450199999998
dualselect;6200;681734.58;278201.38;3.175356560000001
dualsort;6200;82785.72;45541.58;0.55565524
dualselect;6300;695744.22;283513.12;3.2504627200000002
dualsort;6300;83375.54;46293.0;0.5643558
dualselect;6400;707089.16;288344.42;3.363076300000001
dualsort;6400;86119.3;46935.3;0.5735142799999998
dualselect;6500;721083.86;293274.12;3.3112684599999995
dualsort;6500;87224.86;48552.64;0.5749310200000001
dualselect;6600;734354.76;299259.54;3.0678895999999987
dualsort;6600;88245.22;48600.18;0.5289108400000001
dualselect;6700;749521.38;305306.0;2.8811812000000003
dualsort;6700;90852.98;49540.24;0.49452641999999997
dualselect;6800;762539.26;310242.68;2.6195721200000004
dualsort;6800;92008.12;50673.6;0.45174112
dualselect;6900;775203.56;315341.48;2.5423154800000005
dualsort;6900;93726.8;51309.58;0.43307973999999994
dualselect;7000;786302.4;319435.42;2.4057233200000003
dualsort;7000;95757.94;51703.64;0.41568742000000003
dualselect;7100;800544.12;325642.5;2.44299506
dualsort;7100;95827.28;52368.16;0.42214326000000013
dualselect;7200;812391.7;330091.56;2.54359116
dualsort;7200;98327.38;53942.26;0.42946148
dualselect;7300;825091.2;335514.26;2.5191215400000004
dualsort;7300;99792.72;54524.04;0.43509086
dualselect;7400;836710.28;340358.24;2.5482497800000004
dualsort;7400;101118.22;55988.18;0.4411772199999999
dualselect;7500;853219.18;346800.72;2.676364860000001
dualsort;7500;102688.98;56217.62;0.4494791000000001
dualselect;7600;867641.18;352543.64;2.65122344
dualsort;7600;104592.34;57555.8;0.45610579999999984
dualselect;7700;881437.62;357692.36;2.731117900000001
dualsort;7700;105862.94;58134.88;0.46225933999999996
dualselect;7800;896937.84;364061.92;2.72977488
dualsort;7800;107441.1;58869.48;0.4682727199999999
dualselect;7900;913076.24;370920.9;2.7686676000000006
dualsort;7900;109526.12;59902.92;0.47380801999999994
dualselect;8000;929315.1;377227.86;2.8689771000000004
dualsort;8000;110595.38;60775.86;0.48224641999999995
dualselect;8100;942503.88;382379.64;2.8632606199999993
dualsort;8100;111583.82;61030.74;0.4891815
dualselect;8200;958491.06;388985.08;2.9189023199999995
dualsort;8200;112636.02;62327.8;0.4966371599999999
dualselect;8300;970870.14;393966.94;2.93929272
dualsort;8300;115131.4;62934.4;0.50082498
dualselect;8400;986875.3;400382.36;3.0008985800000003
dualsort;8400;116215.96;63353.1;0.5084679000000001
dualselect;8500;1001456.12;406516.36;3.0391701799999993
dualsort;8500;118121.34;64816.16;0.5155086999999999
dualselect;8600;1015731.28;412403.86;3.0972675200000004
dualsort;8600;120267.94;65738.12;0.52113236
dualselect;8700;1028469.74;417019.1;3.0984209800000007
dualsort;8700;122128.5;66457.54;0.52831228
dualselect;8800;1038753.72;421928.1;3.1522246399999996
dualsort;8800;123569.34;67623.36;0.5365779399999997
dualselect;8900;1053408.94;427647.72;3.1877134400000005
dualsort;8900;124364.56;68320.18;0.54317228
dualselect;9000;1070139.12;435123.32;3.2447203
dualsort;9000;125421.42;69379.76;0.5481815400000001
dualselect;9100;1084701.86;440944.08;3.2743365600000014
dualsort;9100;127646.78;69598.7;0.55418512
dualselect;9200;1097481.08;445935.98;3.3122735400000005
dualsort;9200;128962.96;71217.78;0.5640521999999999
dualselect;9300;1110208.86;451630.56;3.34130056
dualsort;9300;130474.88;71564.1;0.5704663800000002
dualselect;9400;1123826.72;458040.66;3.3765253599999996
dualsort;9400;132795.66;72679.62;0.5751046
dualselect;9500;1135963.28;461973.48;3.4232974199999995
dualsort;9500;133533.02;73125.92;0.5839567999999999
dualselect;9600;1149318.56;468162.66;3.4573970999999997
dualsort;9600;135717.26;74287.24;0.5897340799999999
dualselect;9700;1163330.78;473860.42;3.50568584
dualsort;9700;138187.68;75354.06;0.5986064599999998
dualselect;9800;1177615.5;480339.12;3.5579665200000004
dualsort;9800;138144.7;75666.68;0.60088866
dualselect;9900;1187127.56;483115.48;3.5460736399999995
dualsort;9900;140497.98;75882.84;0.6086471000000001
dualselect;10000;1198133.64;489016.82;3.6082084200000004
dualsort;10000;141613.02;77700.2;0.6320010200000001
