type;n;comps;swaps;time
quicksort;5300;1.404235E7;7025149.0;16.599298680000008
quickselect;5400;500456.0;226014.0;1.2860488799999996
quicksort;5400;1.45773E7;7292699.0;17.055510999999996
quickselect;5500;501137.0;226996.0;1.2848440800000003
quicksort;5500;1.512225E7;7565249.0;17.74064364
quickselect;5600;523221.0;235639.0;1.33677152
quicksort;5600;1.56772E7;7842799.0;18.403688200000005
quickselect;5700;517908.0;235200.0;1.3348893799999997
quicksort;5700;1.624215E7;8125349.0;19.048762800000002
quickselect;5800;541956.0;244774.0;1.3924434199999995
quicksort;5800;1.68171E7;8412899.0;19.692644559999998
quickselect;5900;550696.0;249286.0;1.41598894
quicksort;5900;1.740205E7;8705449.0;20.504937080000005
quickselect;6000;570806.0;258804.0;1.4866669
quicksort;6000;1.7997E7;9002999.0;21.09609946000001
quickselect;6100;566534.0;256686.0;1.4521925600000005
quicksort;6100;1.860195E7;9305549.0;21.961764559999995
quickselect;6200;589768.0;267555.0;1.51250078
quicksort;6200;1.92169E7;9613099.0;22.716844879999993
quickselect;6300;594964.0;270237.0;1.54055506
quicksort;6300;1.984185E7;9925649.0;23.691439659999997
quickselect;6400;616804.0;279277.0;1.7000402600000002
quicksort;6400;2.04768E7;1.0243199E7;25.874950959999996
quickselect;6500;603702.0;275571.0;1.5686659599999997
quicksort;6500;2.112175E7;1.0565749E7;25.180360019999995
quickselect;6600;623363.0;283512.0;1.63179266
quicksort;6600;2.17767E7;1.0893299E7;25.881461060000007
quickselect;6700;636886.0;288755.0;1.6758451200000002
quicksort;6700;2.244165E7;1.1225849E7;27.099551060000003
quickselect;6800;648973.0;295141.0;1.6978305800000002
quicksort;6800;2.31166E7;1.1563399E7;28.114615840000003
quickselect;6900;648113.0;295089.0;1.70828022
quicksort;6900;2.380155E7;1.1905949E7;28.981920440000003
quickselect;7000;673373.0;306491.0;1.7404429600000006
quicksort;7000;2.44965E7;1.2253499E7;29.475605520000002
quickselect;7100;668950.0;304984.0;1.7300789
quicksort;7100;2.520145E7;1.2606049E7;30.03346098
quickselect;7200;697990.0;315832.0;1.8508704999999999
quicksort;7200;2.59164E7;1.2963599E7;31.369904440000006
quickselect;7300;689424.0;313794.0;1.77564468
quicksort;7300;2.664135E7;1.3326149E7;31.95968346
quickselect;7400;713632.0;322490.0;1.82173916
quicksort;7400;2.73763E7;1.3693699E7;32.70356296
quickselect;7500;726025.0;328951.0;1.8575218999999998
quicksort;7500;2.812125E7;1.4066249E7;33.502526319999994
quickselect;7600;746560.0;338012.0;1.9702431200000001
quicksort;7600;2.88762E7;1.4443799E7;34.29846496
quickselect;7700;734775.0;332633.0;1.8670284400000003
quicksort;7700;2.964115E7;1.4826349E7;34.99563109999999
quickselect;7800;761952.0;345032.0;1.92526286
quicksort;7800;3.04161E7;1.5213899E7;35.86867062
quickselect;7900;761035.0;345736.0;1.9088195800000003
quicksort;7900;3.120105E7;1.5606449E7;36.72781229999999
quickselect;8000;789663.0;357438.0;1.96319326
quicksort;8000;3.1996E7;1.6003999E7;37.658165700000005
quickselect;8100;782848.0;355607.0;1.9904788399999993
quicksort;8100;3.280095E7;1.6406549E7;38.6154826
quickselect;8200;801715.0;362669.0;1.9835424000000001
quicksort;8200;3.36159E7;1.6814099E7;39.57824281999999
quickselect;8300;811529.0;366228.0;2.02040352
quicksort;8300;3.444085E7;1.7226649E7;40.74513345999999
quickselect;8400;825107.0;373724.0;2.04609196
quicksort;8400;3.52758E7;1.7644199E7;41.67570987999999
quickselect;8500;817185.0;371096.0;2.0534268599999996
quicksort;8500;3.612075E7;1.8066749E7;42.726882759999995
quickselect;8600;849955.0;384064.0;2.140424340000001
quicksort;8600;3.69757E7;1.8494299E7;43.56962912000001
quickselect;8700;842291.0;382069.0;2.1051730800000006
quicksort;8700;3.784065E7;1.8926849E7;44.842264099999994
quickselect;8800;873421.0;394627.0;2.19882716
quicksort;8800;3.87156E7;1.9364399E7;45.96272580000001
quickselect;8900;864869.0;392280.0;2.1722656
quicksort;8900;3.960055E7;1.9806949E7;46.818095539999995
quickselect;9000;891232.0;403033.0;2.30433258
quicksort;9000;4.04955E7;2.0254499E7;48.27443832000001
