type;n;comps;time
end;41000;27.28;107.42
missing;41000;32.0;61.32
random;41000;28.12;136.8
beginning;42000;27.8;140.5
middle;42000;27.48;118.54
end;42000;28.0;111.66
missing;42000;32.0;59.3
random;42000;27.92;140.38
beginning;43000;27.96;229.08
middle;43000;27.32;170.48
end;43000;27.76;139.6
missing;43000;32.0;100.12
random;43000;27.96;185.48
beginning;44000;28.16;168.26
middle;44000;27.32;151.02
end;44000;28.52;120.12
missing;44000;32.0;76.14
random;44000;28.4;165.4
beginning;45000;27.68;177.5
middle;45000;27.72;153.58
end;45000;27.88;117.26
missing;45000;32.0;71.5
random;45000;27.76;167.68
beginning;46000;28.72;156.46
middle;46000;28.8;164.14
end;46000;28.36;119.24
missing;46000;32.0;65.96
random;46000;28.04;165.36
beginning;47000;28.36;182.08
middle;47000;29.0;156.92
end;47000;28.56;116.88
missing;47000;32.0;66.52
random;47000;28.88;154.58
beginning;48000;28.6;224.26
middle;48000;28.56;162.86
end;48000;28.24;124.46
missing;48000;32.0;80.28
random;48000;27.8;165.72
beginning;49000;28.24;172.16
middle;49000;29.0;152.7
end;49000;28.92;116.98
missing;49000;32.0;65.76
random;49000;28.52;158.78
beginning;50000;28.6;160.88
middle;50000;27.56;139.42
end;50000;28.84;116.68
missing;50000;32.0;66.76
random;50000;28.56;160.72
beginning;51000;28.32;215.6
middle;51000;28.6;155.68
end;51000;28.24;129.8
missing;51000;32.0;72.7
random;51000;27.84;164.76
beginning;52000;27.32;218.84
middle;52000;28.28;161.64
end;52000;28.92;134.02
missing;52000;32.0;72.36
random;52000;29.0;173.1
beginning;53000;28.24;208.3
middle;53000;27.96;152.72
end;53000;29.0;118.86
missing;53000;32.0;63.88
random;53000;28.52;186.82
beginning;54000;28.72;197.42
middle;54000;28.72;151.72
end;54000;28.56;110.12
missing;54000;32.0;81.72
random;54000;28.76;157.96
beginning;55000;28.76;216.54
middle;55000;28.52;161.32
end;55000;29.2;125.74
missing;55000;32.0;71.46
random;55000;28.64;157.78
beginning;56000;28.24;217.9
middle;56000;27.96;158.4
end;56000;28.92;129.4
missing;56000;32.0;71.8
random;56000;28.56;187.7
beginning;57000;28.44;225.64
middle;57000;29.68;178.32
end;57000;28.44;114.24
missing;57000;32.0;79.36
random;57000;29.12;182.36
beginning;58000;29.04;218.14
middle;58000;28.36;174.1
end;58000;28.64;130.0
missing;58000;32.0;74.46
random;58000;28.64;173.2
beginning;59000;28.68;229.22
middle;59000;29.0;177.66
end;59000;28.68;128.1
missing;59000;32.0;90.9
random;59000;28.68;183.22
beginning;60000;27.92;245.9
middle;60000;28.76;190.1
end;60000;29.24;128.6
missing;60000;32.0;82.36
random;60000;28.84;188.64
beginning;61000;28.52;290.0
middle;61000;28.56;175.58
end;61000;28.44;134.98
missing;61000;32.0;87.2
random;61000;29.6;199.44
beginning;62000;29.2;182.8
middle;62000;28.92;147.26
end;62000;28.48;118.8
missing;62000;32.0;67.5
random;62000;28.4;153.64
beginning;63000;29.0;158.68
middle;63000;29.72;147.16
end;63000;29.2;115.72
missing;63000;32.0;63.32
random;63000;29.2;157.84
beginning;64000;29.56;197.44
middle;64000;28.92;155.1
end;64000;29.24;118.72
missing;64000;32.0;71.66
random;64000;29.24;162.6
beginning;65000;29.0;175.96
middle;65000;29.04;145.62
end;65000;28.48;110.58
missing;65000;32.0;68.4
random;65000;28.76;166.58
beginning;66000;29.0;211.14
middle;66000;29.32;161.22
end;66000;29.16;125.32
missing;66000;34.0;72.16
random;66000;28.96;168.12
beginning;67000;29.28;195.92
middle;67000;29.72;163.94
end;67000;29.76;118.34
missing;67000;34.0;76.72
random;67000;29.6;163.24
beginning;68000;29.16;156.92
middle;68000;29.08;140.34
end;68000;30.12;128.0
missing;68000;34.0;68.28
random;68000;28.88;155.9
beginning;69000;28.56;166.5
middle;69000;29.76;157.04
end;69000;29.0;115.22
missing;69000;34.0;77.94
random;69000;29.6;162.36
beginning;70000;29.68;182.28
middle;70000;29.12;162.3
end;70000;28.68;123.08
missing;70000;34.0;73.9
random;70000;29.28;149.36
beginning;71000;28.6;222.04
middle;71000;29.48;176.66
end;71000;28.8;140.16
missing;71000;34.0;92.56
random;71000;29.4;192.46
beginning;72000;29.24;161.3
middle;72000;29.24;141.04
end;72000;29.44;120.06
missing;72000;34.0;60.7
random;72000;29.44;149.98
beginning;73000;28.24;217.14
middle;73000;29.08;157.6
end;73000;29.96;122.7
missing;73000;34.0;73.82
random;73000;29.52;157.74
beginning;74000;29.16;278.82
middle;74000;29.32;180.84
end;74000;29.08;147.08
missing;74000;34.0;94.12
random;74000;29.92;187.0
beginning;75000;29.28;337.78
middle;75000;30.0;230.56
end;75000;30.2;147.02
missing;75000;34.0;93.42
random;75000;29.52;204.16
beginning;76000;30.32;427.62
middle;76000;30.0;498.78
end;76000;29.24;226.3
missing;76000;34.0;157.82
