type;n;comps;swaps
select;41100;388465.16;190435.78
randomSelect;41100;122092.5;58152.4
select;41200;389298.08;191041.98
randomSelect;41200;128095.3;62187.6
select;41300;400165.36;191605.84
randomSelect;41300;121990.04;63381.08
select;41400;391187.32;192590.42
randomSelect;41400;130551.8;61228.14
select;41500;397648.32;193767.9
randomSelect;41500;123208.08;61562.64
select;41600;397235.22;193983.24
randomSelect;41600;127825.56;66034.98
select;41700;398389.32;193209.04
randomSelect;41700;141171.86;69585.26
select;41800;400713.72;195068.54
randomSelect;41800;127069.72;67618.28
select;41900;397371.14;194807.02
randomSelect;41900;133046.04;67252.82
select;42000;400369.64;196130.18
randomSelect;42000;117999.54;60057.98
select;42100;404361.32;196060.18
randomSelect;42100;140366.54;69653.92
select;42200;403921.52;196517.24
randomSelect;42200;123003.96;66739.64
select;42300;406429.0;197015.38
randomSelect;42300;126541.28;61483.82
select;42400;405438.74;197211.46
randomSelect;42400;130315.74;66867.84
select;42500;409075.32;197814.6
randomSelect;42500;125478.48;66673.8
select;42600;405612.12;199072.34
randomSelect;42600;132078.1;65465.58
select;42700;405117.82;199235.86
randomSelect;42700;123833.88;62791.58
select;42800;410389.24;199800.0
randomSelect;42800;112388.32;57125.14
select;42900;407173.7;200238.02
randomSelect;42900;127693.5;64936.74
select;43000;411344.06;199431.02
randomSelect;43000;135648.64;66332.42
select;43100;411522.34;200101.86
randomSelect;43100;123390.02;60871.0
select;43200;411293.4;200572.4
randomSelect;43200;129685.36;65364.96
select;43300;411033.22;201114.04
randomSelect;43300;149236.36;75759.04
select;43400;414996.4;201759.82
randomSelect;43400;132711.28;66961.64
select;43500;413014.84;201860.6
randomSelect;43500;132850.42;67556.72
select;43600;417400.3;202774.1
randomSelect;43600;122192.26;58469.24
select;43700;416096.76;203768.74
randomSelect;43700;126926.98;63784.62
select;43800;418457.46;202660.12
randomSelect;43800;124373.56;63040.88
select;43900;415667.26;203408.82
randomSelect;43900;138344.56;67314.92
select;44000;419243.6;205043.9
randomSelect;44000;134817.66;63968.14
select;44100;418407.9;204205.58
randomSelect;44100;139735.36;64136.44
select;44200;423235.5;206144.1
randomSelect;44200;131050.58;66180.5
select;44300;422433.42;205599.1
randomSelect;44300;133545.92;67029.46
select;44400;419277.62;206373.9
randomSelect;44400;141864.36;65474.08
select;44500;424439.32;207435.7
randomSelect;44500;140510.84;66991.24
select;44600;424802.64;207453.62
randomSelect;44600;130917.74;64473.96
select;44700;428912.62;208526.08
randomSelect;44700;137636.22;72336.44
select;44800;424820.32;208919.34
randomSelect;44800;136747.66;67115.52
select;44900;428302.14;208417.78
randomSelect;44900;130099.22;68215.24
select;45000;427844.58;209742.18
randomSelect;45000;128013.58;63528.24
select;45100;426009.78;208659.2
randomSelect;45100;129833.56;70667.94
select;45200;429866.04;209374.46
randomSelect;45200;135473.28;72041.68
select;45300;426757.54;210263.36
randomSelect;45300;139199.12;75012.44
select;45400;435618.54;211794.2
randomSelect;45400;130148.88;68350.8
select;45500;431625.84;211352.7
randomSelect;45500;145725.32;71336.78
select;45600;438203.28;212644.42
randomSelect;45600;136558.44;71124.34
select;45700;435306.34;213008.82
randomSelect;45700;128253.32;64166.04
select;45800;436688.4;212471.16
randomSelect;45800;139292.62;65976.88
select;45900;433291.0;214150.1
randomSelect;45900;136811.28;69961.98
select;46000;439126.06;214330.66
randomSelect;46000;143994.22;72496.78
select;46100;437307.5;215302.84
randomSelect;46100;138224.76;68635.96
select;46200;439915.22;214299.98
randomSelect;46200;130939.04;65532.74
select;46300;439134.76;216316.16
randomSelect;46300;140083.62;69106.08
select;46400;440625.2;215793.02
randomSelect;46400;138719.56;71673.58
select;46500;450321.54;217345.08
randomSelect;46500;129424.94;57830.9
select;46600;440761.04;217431.92
randomSelect;46600;138179.96;70710.5
select;46700;449996.08;216972.0
randomSelect;46700;135439.32;65430.52
select;46800;442200.16;215211.76
randomSelect;46800;144944.28;72088.38
select;46900;448013.84;218708.1
randomSelect;46900;139147.44;69126.8
select;47000;447107.52;218628.76
randomSelect;47000;148823.84;79358.78
select;47100;450941.56;218603.76
randomSelect;47100;151256.68;73010.1
select;47200;450917.6;219394.4
randomSelect;47200;140295.42;74050.24
select;47300;452166.0;219888.9
randomSelect;47300;129772.48;68340.46
select;47400;449200.34;221087.04
randomSelect;47400;142385.82;68034.32
select;47500;455257.6;222268.42
randomSelect;47500;146617.68;71491.04
select;47600;449697.4;221239.34
randomSelect;47600;151180.54;79355.12
select;47700;452098.68;222100.5
randomSelect;47700;148966.5;74327.5
select;47800;456705.12;222723.08
randomSelect;47800;129038.46;66098.34
select;47900;457556.1;223067.48
randomSelect;47900;145757.34;70977.54
select;48000;450797.24;222140.2
randomSelect;48000;140211.62;74457.48
select;48100;456276.24;224113.52
randomSelect;48100;140733.78;69801.54
select;48200;460615.68;224342.74
randomSelect;48200;137780.34;64756.66
select;48300;462765.66;224747.44
randomSelect;48300;144423.86;71128.06
select;48400;461696.28;226309.84
randomSelect;48400;142659.28;71824.6
select;48500;461331.06;225653.52
randomSelect;48500;147772.18;75682.68
select;48600;466780.4;226932.1
randomSelect;48600;164712.02;85470.26
select;48700;462311.88;225866.86
randomSelect;48700;149042.24;77141.68
select;48800;464771.82;227306.12
randomSelect;48800;144008.58;74562.02
select;48900;468053.94;227984.3
randomSelect;48900;145450.86;71667.82
select;49000;463777.64;228111.72
randomSelect;49000;155907.08;69739.26
select;49100;466183.06;227480.94
randomSelect;49100;152339.16;73824.62
select;49200;467565.1;228824.26
randomSelect;49200;146867.74;72600.48
select;49300;476393.5;230683.32
randomSelect;49300;142694.4;73092.1
select;49400;470806.36;229088.72
randomSelect;49400;152749.4;76864.44
select;49500;471051.78;230176.52
randomSelect;49500;157409.98;79469.96
select;49600;474240.46;231190.28
randomSelect;49600;153645.04;78542.66
select;49700;473530.24;231551.76
randomSelect;49700;142730.7;73235.74
select;49800;477486.62;230658.76
randomSelect;49800;151500.72;73540.66
select;49900;473173.98;231847.74
randomSelect;49900;167715.38;85098.04
select;50000;481039.12;232574.34
randomSelect;50000;151935.42;78718.76
