type;n;comps;swaps
randomSelect;8300;23672.0;12422.42
select;8400;77979.58;38210.12
randomSelect;8400;23512.92;12214.68
select;8500;78862.68;38782.96
randomSelect;8500;22660.58;11878.42
select;8600;79777.36;38997.64
randomSelect;8600;27144.48;13660.32
select;8700;80880.46;39619.2
randomSelect;8700;25755.6;12992.56
select;8800;81753.74;40247.5
randomSelect;8800;25347.36;12582.74
select;8900;82943.96;40587.56
randomSelect;8900;27126.3;13183.92
select;9000;85090.42;41001.8
randomSelect;9000;27801.18;13196.5
select;9100;85001.9;41328.68
randomSelect;9100;25769.02;12977.7
select;9200;85695.66;41762.38
randomSelect;9200;26672.52;13652.72
select;9300;85917.18;42395.92
randomSelect;9300;28287.28;13582.08
select;9400;87855.1;43173.6
randomSelect;9400;27445.56;13847.18
select;9500;88913.66;43455.76
randomSelect;9500;31494.14;15630.38
select;9600;88614.24;43631.44
randomSelect;9600;32843.92;16137.3
select;9700;90480.5;44275.88
randomSelect;9700;31123.24;14335.2
select;9800;90667.36;44366.82
randomSelect;9800;28111.46;13054.7
select;9900;91807.74;45243.24
randomSelect;9900;28738.74;14058.56
select;10000;93909.38;45960.94
randomSelect;10000;30009.18;13992.68
select;10100;93576.86;45718.4
randomSelect;10100;31318.06;16204.84
select;10200;95441.48;46612.6
randomSelect;10200;29746.66;14535.08
select;10300;94998.96;46735.7
randomSelect;10300;31435.76;16602.18
select;10400;97118.1;47583.22
randomSelect;10400;33418.34;16603.22
select;10500;97032.22;47508.86
randomSelect;10500;31864.12;15971.62
select;10600;97852.18;48233.86
randomSelect;10600;30990.22;15843.36
select;10700;99125.82;48912.58
randomSelect;10700;32864.76;17317.52
select;10800;100811.54;49128.98
randomSelect;10800;32583.56;16783.0
select;10900;102406.94;49877.44
randomSelect;10900;31554.18;16725.36
select;11000;102168.82;50336.38
randomSelect;11000;35132.96;16864.42
select;11100;105198.94;50720.56
randomSelect;11100;34858.84;18020.76
select;11200;105579.62;51142.7
randomSelect;11200;33951.26;17546.08
select;11300;106264.64;51669.58
randomSelect;11300;34294.12;16902.5
select;11400;106807.46;52366.52
randomSelect;11400;30242.8;15140.52
select;11500;107080.9;52395.54
randomSelect;11500;34901.24;17377.48
select;11600;108185.5;52629.26
randomSelect;11600;34855.5;17171.3
select;11700;109714.82;53424.92
randomSelect;11700;34120.62;16385.84
select;11800;109142.5;53595.94
randomSelect;11800;33660.98;16188.26
select;11900;110569.84;54243.06
randomSelect;11900;37128.74;18973.02
select;12000;112643.36;54910.74
randomSelect;12000;34815.66;17452.24
select;12100;113687.68;55492.28
randomSelect;12100;37935.18;17860.32
select;12200;115323.36;55620.68
randomSelect;12200;36753.6;18361.9
select;12300;113903.8;55864.8
randomSelect;12300;34634.06;16858.4
select;12400;116581.42;56993.92
randomSelect;12400;35435.42;17632.68
select;12500;117044.46;57246.34
randomSelect;12500;39044.58;19165.94
select;12600;117736.8;57635.7
randomSelect;12600;38145.88;18659.66
select;12700;118909.54;58167.38
randomSelect;12700;39522.34;19671.7
select;12800;120847.34;58722.44
randomSelect;12800;37803.94;18437.38
select;12900;120821.04;58768.7
randomSelect;12900;40647.86;21003.26
select;13000;122446.8;59507.18
randomSelect;13000;39111.1;18663.88
select;13100;122198.14;59940.8
randomSelect;13100;39234.44;20817.74
select;13200;123603.48;60420.6
randomSelect;13200;39353.76;20466.06
select;13300;124646.34;60891.24
randomSelect;13300;38782.42;19680.14
select;13400;125805.58;61649.3
randomSelect;13400;41235.3;20602.4
select;13500;126558.94;61911.04
randomSelect;13500;44397.48;22367.54
select;13600;127123.26;61996.1
randomSelect;13600;38613.14;19033.48
select;13700;129282.76;63003.58
randomSelect;13700;38301.66;18731.42
select;13800;129733.88;63083.46
randomSelect;13800;39568.66;18700.76
select;13900;130717.96;63819.1
