type;n;comps;swaps;time
select3;8500;88137.82;40764.68;0.3257854038476944
select5;8500;78893.0;38722.66;0.2756546586751938
select7;8500;80154.98;42275.7;0.26204095721244813
select9;8500;82984.78;47331.62;0.25531164050102234
select3;8600;89988.46;41385.74;0.3298400789499283
select5;8600;80355.68;39297.92;0.27861109912395476
select7;8600;81224.92;42715.12;0.2653302597999573
select9;8600;84443.28;48031.98;0.25935315787792207
select3;8700;91247.62;41574.66;0.3311411190032959
select5;8700;81740.66;39731.66;0.28013096153736117
select7;8700;82181.76;43296.38;0.26760508060455324
select9;8700;85408.44;49016.3;0.26075145959854124
select3;8800;92170.54;42314.38;0.34149271607398984
select5;8800;81793.4;40110.6;0.29432406187057497
select7;8800;82296.68;43852.74;0.2690864390134811
select9;8800;86996.32;49306.0;0.2654346811771393
select3;8900;92552.86;42467.5;0.33774596095085146
select5;8900;82732.78;40428.08;0.28574517846107483
select7;8900;83672.0;44336.02;0.2729255986213684
select9;8900;87165.78;49915.66;0.2671633803844452
select3;9000;94200.7;43212.56;0.34376742005348204
select5;9000;84010.82;41107.5;0.29033351838588717
select7;9000;84555.2;44645.84;0.2727512216567993
select9;9000;88508.72;50522.8;0.27041342079639435
select3;9100;95931.22;44064.86;0.34900497674942016
select5;9100;85027.72;41415.76;0.29241700112819674
select7;9100;85419.02;45355.46;0.27801593840122224
select9;9100;89122.58;50814.46;0.27296098053455353
select3;9200;97456.28;44467.82;0.35583734154701235
select5;9200;86299.78;42055.88;0.2971112197637558
select7;9200;86587.02;45663.44;0.28178178191185
select9;9200;91044.1;51779.04;0.27809913992881774
select3;9300;97149.92;44642.54;0.38074964165687564
select5;9300;87362.76;42680.82;0.31973299860954285
select7;9300;86796.92;46040.9;0.30318461954593656
select9;9300;91128.2;52457.58;0.2950174230337143
select3;9400;99320.96;45496.66;0.36443029701709745
select5;9400;87800.36;42676.78;0.302506520152092
select7;9400;88750.98;46884.36;0.28831818044185636
select9;9400;92128.34;53168.24;0.2825735974311829
select3;9500;99071.58;45859.72;0.36552630007267
select5;9500;87953.24;43277.58;0.30656050324440004
select7;9500;89586.1;47642.48;0.29480733871459963
select9;9500;93621.5;53273.84;0.28654032230377197
select3;9600;101425.84;46688.74;0.36957729756832125
select5;9600;89438.88;43926.12;0.3095322197675705
select7;9600;90235.4;47719.94;0.29373287796974185
select9;9600;94531.66;53813.52;0.28932475924491885
select3;9700;103097.12;47184.1;0.37294468104839323
select5;9700;91732.7;44352.44;0.31171493768692016
select7;9700;91229.24;48218.02;0.29515381932258605
select9;9700;96831.04;54819.9;0.2918222188949585
select3;9800;103266.24;47232.82;0.37449301838874816
select5;9800;92283.64;44713.02;0.31381614327430724
select7;9800;91733.32;48688.4;0.297246618270874
select9;9800;97218.32;55118.22;0.29429545879364016
select3;9900;104142.04;47931.32;0.38078769981861116
select5;9900;92020.94;45456.08;0.326733500957489
select7;9900;93830.44;49189.58;0.3054593014717102
select9;9900;98368.52;56091.38;0.2993081396818161
select3;10000;105979.84;48424.6;0.38368809878826143
select5;10000;93627.48;45733.6;0.3222202974557877
select7;10000;94062.2;50056.44;0.3047430008649826
select9;10000;99579.1;56744.32;0.3009897619485855
select3;10100;105668.14;48810.42;0.3863297402858734
select5;10100;95009.82;46052.2;0.32314769983291625
select7;10100;94594.98;50395.02;0.307525218129158
select9;10100;99689.64;56755.98;0.30335816025733947
select3;10200;106948.02;49500.82;0.39138793826103213
select5;10200;95127.04;46892.84;0.32914653956890105
select7;10200;95534.26;50997.1;0.31162714183330537
select9;10200;100157.34;57448.28;0.3054130792617798
select3;10300;108034.14;49597.56;0.39291950285434724
select5;10300;94859.6;46868.64;0.32860681891441346
select7;10300;96900.22;51183.34;0.3142392212152481
select9;10300;102208.3;58029.02;0.3098902428150177
select3;10400;109048.84;50473.0;0.3964816623926163
select5;10400;97754.32;47592.48;0.3346999192237854
select7;10400;97559.22;51862.74;0.3151173651218414
select9;10400;103216.76;58397.52;0.31224369823932646
select3;10500;110707.5;50541.02;0.40141900181770324
select5;10500;95999.32;47641.48;0.3360878998041153
select7;10500;99027.7;52332.98;0.32214472115039827
select9;10500;104337.76;59229.86;0.3169354194402695
select3;10600;111835.34;51196.52;0.40541251957416535
select5;10600;99138.48;48479.5;0.3417557209730148
select7;10600;98899.46;52618.16;0.322610080242157
select9;10600;104818.38;59373.04;0.31948041915893555
select3;10700;112988.84;51802.18;0.4105305576324463
select5;10700;98659.3;48431.56;0.34143794178962705
select7;10700;100090.52;52889.94;0.32351456105709075
select9;10700;105718.86;60202.94;0.32069607973098757
select3;10800;115332.08;52600.52;0.4159374785423279
select5;10800;101052.38;49424.92;0.34661474108695983
select7;10800;102290.18;53942.52;0.32920244097709656
select9;10800;107614.36;61304.1;0.3254752606153488
select3;10900;113591.04;52564.54;0.415387898683548
select5;10900;102515.46;49783.3;0.3497063201665878
select7;10900;102550.42;54504.76;0.3322185385227203
select9;10900;107511.16;61417.64;0.3279512596130371
select3;11000;116669.42;53307.44;0.4192823958396912
select5;11000;102296.26;50030.7;0.3490713602304459
select7;11000;104774.58;55130.18;0.3343805235624313
select9;11000;109053.52;62215.34;0.32916269898414613
select3;11100;115579.66;53311.54;0.4191212809085846
select5;11100;102921.6;50905.2;0.35393631756305693
select7;11100;104520.36;55177.68;0.36298398315906527
select9;11100;110743.04;63135.42;0.3337420189380646
select3;11200;118259.34;54025.3;0.4266611188650131
select5;11200;104497.28;51273.2;0.3600836008787155
select7;11200;105361.48;55998.18;0.34190248310565946
select9;11200;110363.8;62934.38;0.3366069966554642
select3;11300;119561.2;54928.02;0.43176364243030546
select5;11300;105427.96;51914.06;0.36186605751514433
select7;11300;106875.88;56494.44;0.3435359400510788
select9;11300;111906.44;63430.24;0.3382148212194443
select3;11400;119848.78;54958.58;0.43390411853790284
select5;11400;106693.4;51928.82;0.36307164311408996
select7;11400;106755.92;56815.78;0.346144996881485
select9;11400;112851.08;64571.76;0.3424457836151123
select3;11500;121082.98;55408.06;0.43544390141963957
select5;11500;106375.86;52424.14;0.3655769795179367
select7;11500;108531.82;57599.96;0.35024249970912935
select9;11500;113730.4;64804.36;0.3439862006902695
select3;11600;121872.62;56201.96;0.4416004413366318
select5;11600;108530.68;53254.94;0.37128734052181245
select7;11600;108919.64;57853.12;0.3508527183532715
select9;11600;114216.1;65219.52;0.3478584408760071
select3;11700;123529.88;56560.52;0.44471623599529264
select5;11700;109800.86;53513.58;0.37376933872699736
select7;11700;109947.22;58591.08;0.3559029757976532
select9;11700;115512.64;66053.5;0.351010702252388
select3;11800;124206.46;57031.78;0.448374040722847
select5;11800;109516.94;53750.42;0.37717563927173614
select7;11800;111236.18;58668.74;0.3579604214429855
select9;11800;116756.3;66537.94;0.3541271561384201
select3;11900;124393.84;57465.68;0.45090419709682467
select5;11900;111380.92;54302.7;0.3802166438102722
select7;11900;110354.74;58824.92;0.3590522587299347
select9;11900;118622.56;67584.36;0.3579012185335159
select3;12000;126721.9;58233.88;0.45890380144119264
select5;12000;111818.52;55017.2;0.38530942022800446
select7;12000;113884.8;60207.82;0.3668782812356949
select9;12000;119698.12;67773.6;0.36133579909801483
select3;12100;127837.34;58688.8;0.4606920593976975
select5;12100;112973.74;55207.82;0.38387488067150116
select7;12100;113795.98;60461.62;0.3666281008720398
select9;12100;120090.94;68061.84;0.3635082370042801
select3;12200;129741.94;59195.96;0.46479861974716186
select5;12200;113942.76;55770.14;0.39008268117904665
select7;12200;114272.56;60754.16;0.3689377588033676
select9;12200;120984.2;69194.48;0.3668788421154022
select3;12300;130357.3;59624.94;0.4694696021080017
select5;12300;114589.02;56380.88;0.3938115793466568
select7;12300;116533.76;61288.68;0.37219961822032926
select9;12300;121648.16;69672.72;0.3691180616617203
select3;12400;129319.08;60065.36;0.4716228199005127
select5;12400;116114.08;57157.56;0.3994944566488266
select7;12400;116163.94;61440.1;0.3763069188594818
select9;12400;122906.1;70058.72;0.38166710138320925
select3;12500;132058.4;60802.94;0.48084323704242704
select5;12500;117482.98;57385.4;0.4048155814409256
select7;12500;117127.98;62490.44;0.38155473828315734
select9;12500;123196.3;70732.5;0.3767652624845505
select3;12600;133816.9;61393.76;0.4825227820873261
select5;12600;117317.66;57528.48;0.4026187598705292
select7;12600;119323.72;62753.76;0.3812125778198242
select9;12600;124916.48;70689.02;0.3771077024936676
select3;12700;134636.38;61813.92;0.4855882203578949
select5;12700;119040.68;58279.94;0.4068987601995468
select7;12700;119599.02;63546.98;0.3851533800363541
select9;12700;124889.06;71495.96;0.38110557675361634
select3;12800;136147.9;62200.82;0.4885761785507202
select5;12800;120006.4;58498.16;0.40831334233283995
select7;12800;119585.9;64057.44;0.38688739836215974
select9;12800;126788.88;72464.72;0.38356425702571867
select3;12900;137135.06;62870.18;0.4958798205852509
select5;12900;121369.12;59345.32;0.4143171012401581
select7;12900;119756.5;64598.7;0.3912813585996628
select9;12900;127588.3;73009.14;0.38606095910072324
select3;13000;135962.62;62638.5;0.4916287416219711
select5;13000;121923.1;59438.3;0.41468106031417845
select7;13000;123469.22;64797.14;0.3916599601507187
select9;13000;129126.5;72940.26;0.38807862043380736
select3;13100;139295.32;63238.38;0.50016685962677
select5;13100;121453.56;59748.84;0.41785844147205353
select7;13100;123012.64;65172.26;0.39791770160198214
select9;13100;130030.72;73662.3;0.3921230959892273
select3;13200;138995.6;63948.42;0.5014012008905411
select5;13200;123716.02;60475.28;0.42308811724185946
select7;13200;124727.5;65710.98;0.4013912987709045
select9;13200;129713.54;74332.16;0.39436649918556216
select3;13300;141077.78;64566.9;0.5077705574035645
select5;13300;124477.68;60874.04;0.4252942979335785
select7;13300;124844.66;66332.66;0.4052305638790131
select9;13300;131446.88;74832.46;0.39878897786140444
select3;13400;141507.44;65159.12;0.5133458209037781
select5;13400;125923.74;61677.58;0.4327431792020798
select7;13400;127127.02;67193.62;0.40940095961093903
select9;13400;132719.84;75226.9;0.4025420409440994
select3;13500;142054.28;65203.74;0.51115314245224
select5;13500;125841.56;61927.14;0.4318083208799362
select7;13500;125206.46;67030.98;0.4089717596769333
select9;13500;134290.98;76409.2;0.40522868275642393
select3;13600;142854.68;65868.34;0.5191309416294098
select5;13600;126823.04;62263.14;0.4367367416620255
select7;13600;128581.54;68003.9;0.4127798193693161
select9;13600;134995.52;76883.5;0.41056991994380954
select3;13700;145216.24;66666.26;0.5234675759077072
select5;13700;129521.26;62757.76;0.43818032026290893
select7;13700;128421.14;68381.66;0.41536569893360137
select9;13700;135833.9;77523.64;0.41140334188938144
select3;13800;145851.46;66903.78;0.5287235569953919
select5;13800;127762.46;63141.82;0.4411593610048294
select7;13800;129447.4;69189.36;0.41878464102745055
select9;13800;137347.14;77902.62;0.4153556007146835
select3;13900;146365.56;67495.08;0.5315611612796783
select5;13900;130712.22;63949.48;0.44431698083877563
select7;13900;131514.8;69305.38;0.4212635976076126
select9;13900;137869.06;78722.44;0.41628606140613555
select3;14000;145993.08;67698.24;0.529690858721733
select5;14000;132094.94;64254.12;0.4481368184089661
select7;14000;131328.42;69867.02;0.42104042172431944
