type;n;comps;swaps;time
quickselect;5500;496741.02;214232.88;2.579780860000001
quicksort;5500;79229.18;44060.68;0.4422815999999999
quickselect;5600;505692.26;217321.8;2.6201840599999997
quicksort;5600;80815.74;44300.36;0.45013138000000014
quickselect;5700;516310.86;223067.8;2.6733211999999997
quicksort;5700;82160.16;46480.12;0.46027623999999995
quickselect;5800;527393.2;226904.12;2.7759827399999994
quicksort;5800;84246.52;46984.94;0.46873528
quickselect;5900;539391.14;233025.02;2.7866797799999996
quicksort;5900;85687.56;48256.96;0.4785411
quickselect;6000;549771.42;236725.36;2.832429500000001
quicksort;6000;86554.68;47485.38;0.48589493999999994
quickselect;6100;562252.9;242464.5;2.898850239999999
quicksort;6100;89202.22;49572.38;0.49619721999999994
quickselect;6200;573647.56;247721.36;3.0141841599999992
quicksort;6200;90736.34;51316.0;0.5054835400000001
quickselect;6300;582704.02;251876.44;3.0163205000000004
quicksort;6300;92059.26;51150.06;0.5119939800000001
quickselect;6400;590895.0;254166.74;3.02383868
quicksort;6400;94132.18;52219.76;0.5150503200000001
quickselect;6500;603641.74;260611.9;2.8177366800000003
quicksort;6500;95616.88;53939.96;0.48005418000000005
quickselect;6600;613130.66;264700.06;2.5936566
quicksort;6600;98520.62;54485.08;0.44204703999999995
quickselect;6700;622914.56;269405.58;2.41730928
quicksort;6700;99730.42;54870.4;0.41315959999999996
quickselect;6800;635005.28;273522.08;2.2831430800000003
quicksort;6800;100613.74;55871.7;0.3897680800000001
quickselect;6900;646488.84;279102.22;2.1971299600000003
quicksort;6900;102345.46;57176.9;0.37898874000000005
quickselect;7000;656831.8;283532.26;2.2276468800000004
quicksort;7000;103745.52;56857.6;0.38276824
quickselect;7100;668055.08;287757.38;2.3110939400000006
quicksort;7100;104660.08;57729.28;0.39095992
quickselect;7200;676786.06;291158.42;2.2967907199999993
quicksort;7200;107314.84;59722.52;0.39190996
quickselect;7300;686244.44;296854.76;2.3234933200000003
quicksort;7300;109227.98;60995.88;0.3977843
quickselect;7400;698960.08;300811.26;2.3663526200000002
quicksort;7400;111295.8;61531.88;0.4036210000000001
quickselect;7500;709959.56;306533.82;2.4067243
quicksort;7500;112088.54;62337.2;0.41011847999999995
