type;n;k;comps;swaps
dual;17000;10;262731.4;142959.4
quick;17000;100;283369.09;155820.63
hybrid;17000;100;283146.45;148898.46
dual;17000;100;256889.34;139845.58
quick;18000;1;300179.0;162034.0
hybrid;18000;1;299924.0;154631.0
dual;18000;1;269377.0;153316.0
quick;18000;10;304335.2;160976.8
hybrid;18000;10;304105.3;153660.0
dual;18000;10;276962.0;149274.0
quick;18000;100;300285.97;165075.78
hybrid;18000;100;300054.77;157767.09
dual;18000;100;273779.92;148917.13
quick;19000;1;298309.0;171096.0
hybrid;19000;1;298109.0;163394.0
dual;19000;1;292201.0;163328.0
quick;19000;10;321385.3;176248.4
hybrid;19000;10;321138.5;168503.2
dual;19000;10;294435.4;156949.9
quick;19000;100;321982.05;176710.32
hybrid;19000;100;321730.75;168974.23
dual;19000;100;293815.56;159576.01
quick;20000;1;339388.0;185538.0
hybrid;20000;1;339165.0;177451.0
dual;20000;1;305215.0;160420.0
quick;20000;10;339645.8;187624.3
hybrid;20000;10;339397.1;179507.0
dual;20000;10;305890.1;166539.3
quick;20000;100;341383.64;189278.7
hybrid;20000;100;341134.55;181178.53
dual;20000;100;308982.37;167037.56
quick;21000;1;346295.0;177621.0
hybrid;21000;1;346089.0;169157.0
dual;21000;1;320404.0;164334.0
quick;21000;10;358167.3;194867.8
hybrid;21000;10;357919.2;186315.6
dual;21000;10;331788.3;178530.4
quick;21000;100;358277.37;194906.25
hybrid;21000;100;358009.39;186373.45
dual;21000;100;326730.36;177076.34
quick;22000;1;376145.0;185793.0
hybrid;22000;1;375854.0;176568.0
dual;22000;1;347146.0;182268.0
quick;22000;10;371966.5;198479.2
hybrid;22000;10;371742.1;189663.2
dual;22000;10;344708.3;185655.9
quick;22000;100;379012.81;205542.84
hybrid;22000;100;378736.24;196631.16
dual;22000;100;346004.52;187227.17
quick;23000;1;389520.0;210331.0
hybrid;23000;1;389370.0;201177.0
dual;23000;1;347156.0;192021.0
quick;23000;10;393938.0;218720.0
hybrid;23000;10;393587.6;209241.2
dual;23000;10;359464.0;192943.2
quick;23000;100;393469.82;214731.79
hybrid;23000;100;393164.81;205360.38
dual;23000;100;360953.2;195868.86
quick;24000;1;433714.0;244438.0
hybrid;24000;1;433463.0;234727.0
dual;24000;1;417001.0;211755.0
quick;24000;10;417491.5;225529.4
hybrid;24000;10;417209.1;215773.3
dual;24000;10;379418.4;207323.8
quick;24000;100;417960.21;227449.68
hybrid;24000;100;417659.75;217710.3
dual;24000;100;379209.65;204507.48
quick;25000;1;432999.0;247766.0
hybrid;25000;1;432747.0;237752.0
dual;25000;1;407053.0;213095.0
quick;25000;10;431366.8;237745.7
hybrid;25000;10;431114.8;227616.3
dual;25000;10;395340.4;213705.8
quick;25000;100;433471.26;235908.91
hybrid;25000;100;433144.03;225743.23
dual;25000;100;395652.4;215336.82
quick;26000;1;424106.0;234633.0
hybrid;26000;1;423780.0;224036.0
dual;26000;1;392252.0;231385.0
quick;26000;10;456335.6;249403.0
hybrid;26000;10;456042.4;238935.5
dual;26000;10;422688.4;225943.5
quick;26000;100;453411.94;246847.91
hybrid;26000;100;453106.52;236317.83
dual;26000;100;413661.25;223587.82
quick;27000;1;460032.0;258008.0
hybrid;27000;1;459505.0;246888.0
dual;27000;1;442330.0;257122.0
quick;27000;10;471516.6;257744.7
hybrid;27000;10;471218.5;246846.8
dual;27000;10;432816.0;227202.5
quick;27000;100;472149.54;257672.4
hybrid;27000;100;471816.25;246697.72
dual;27000;100;431007.52;234921.76
quick;28000;1;517545.0;302431.0
hybrid;28000;1;517360.0;291272.0
dual;28000;1;461702.0;233978.0
quick;28000;10;504254.1;268309.1
hybrid;28000;10;503928.2;256986.5
dual;28000;10;451867.4;237289.2
quick;28000;100;490645.18;267212.77
hybrid;28000;100;490292.41;255836.32
dual;28000;100;451626.71;245069.95
quick;29000;1;496590.0;264391.0
hybrid;29000;1;496260.0;252627.0
dual;29000;1;471861.0;235947.0
quick;29000;10;512909.2;274788.6
hybrid;29000;10;512550.6;263076.0
dual;29000;10;467586.4;250719.1
quick;29000;100;514001.17;280328.14
hybrid;29000;100;513638.65;268542.74
dual;29000;100;465136.51;254578.79
quick;30000;1;525706.0;297871.0
hybrid;30000;1;525306.0;285671.0
dual;30000;1;476224.0;269989.0
quick;30000;10;528394.8;287886.3
hybrid;30000;10;528024.8;275731.6
dual;30000;10;490421.1;267279.0
quick;30000;100;533941.21;290628.19
hybrid;30000;100;533568.74;278456.25
dual;30000;100;483581.07;263550.54
quick;31000;1;566986.0;310819.0
hybrid;31000;1;566473.0;298076.0
dual;31000;1;495889.0;278874.0
quick;31000;10;565364.9;309991.2
hybrid;31000;10;564950.0;297347.1
dual;31000;10;502365.3;270948.6
quick;31000;100;554484.89;303665.78
hybrid;31000;100;554090.24;291080.31
dual;31000;100;501811.84;273432.2
quick;32000;1;597435.0;321774.0
hybrid;32000;1;597137.0;308945.0
dual;32000;1;522499.0;271535.0
quick;32000;10;557777.3;309215.8
hybrid;32000;10;557371.2;296188.2
dual;32000;10;527048.2;274233.8
quick;32000;100;573873.37;312647.85
hybrid;32000;100;573455.7;299643.5
dual;32000;100;522529.11;281743.25
quick;33000;1;584137.0;313041.0
hybrid;33000;1;583732.0;299606.0
dual;33000;1;540452.0;281605.0
quick;33000;10;588096.7;315156.4
hybrid;33000;10;587684.7;301820.2
dual;33000;10;545950.7;301788.7
quick;33000;100;593997.43;324134.36
hybrid;33000;100;593590.1;310762.04
dual;33000;100;540225.98;292485.5
quick;34000;1;614477.0;347125.0
hybrid;34000;1;613997.0;333448.0
dual;34000;1;552463.0;314389.0
quick;34000;10;603752.4;328002.0
hybrid;34000;10;603340.9;314205.4
dual;34000;10;554989.5;300528.8
quick;34000;100;607013.83;333568.55
hybrid;34000;100;606590.45;319753.45
dual;34000;100;556906.01;301688.25
quick;35000;1;662985.0;347070.0
hybrid;35000;1;662565.0;332967.0
dual;35000;1;610856.0;340345.0
quick;35000;10;640508.3;346259.5
hybrid;35000;10;640060.6;332029.8
dual;35000;10;582648.5;313871.7
quick;35000;100;632149.92;344525.41
hybrid;35000;100;631676.91;330259.61
dual;35000;100;576154.85;311267.19
quick;36000;1;640463.0;359598.0
hybrid;36000;1;639952.0;344849.0
dual;36000;1;586671.0;336035.0
quick;36000;10;649878.9;366099.2
hybrid;36000;10;649455.8;351539.6
