depth;visited
194;2222
240;2480
302;1116
194;547
142;396
296;1152
182;438
274;1075
256;1141
176;490
140;733
164;659
136;241
192;845
214;976
336;1221
160;648
124;452
352;2579
106;333
184;460
352;1742
484;3014
290;1794
96;417
312;1285
248;1458
234;763
310;998
154;661
380;1424
98;486
282;1423
292;1097
378;1782
190;1264
276;1052
248;1318
250;1137
134;487
188;801
172;457
170;542
122;308
296;1167
288;1598
134;486
218;993
138;372
98;303
